Column1,meal_id,meal_name,protein_source,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
1137431,1016125,Königsberger Klopse mit Kapernsoße und Rote Beete Salat,meat,Ei/-erzeugnisse;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Senf/-erzeugnisse;Süßungsmittel,Beliebt und gerne gegessen,02.10.2014,"Hamburg, Mensa Bergedorf","Lohbrügger Kirchstraße 65, 21033 Hamburg",main_dish,7,Süßungsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Senf/-erzeugnisse;Glutenhaltiges;mit Schwein;Ei/-erzeugnisse,7
3014349,1167562,"Paniertes Putenschnitzel , Ratatouille , Rosmarinkartoffeln",meat,Sellerie/-erzeugnisse;mit Geflügel;Glutenhaltiges;Antioxidationsmittel;laktosefrei,Beliebt und gerne gegessen,26.01.2015,"Hamburg, Cafe am Mittelweg","Mittelweg 177, 20148 Hamburg",main_dish,5,Antioxidationsmittel;laktosefrei;mit Geflügel;Glutenhaltiges;Sellerie/-erzeugnisse,5
3093311,3004544,Gemüse-Hähnchenpfanne,meat,"mit Couscous (A, J) und einem Apfel;MensaVital",Essen 7,08.01.2018,Mensa essWERK,"Kleiststraße 7,  60318 Frankfurt am Main, Germany",main_dish,2,MensaVital,1
1315768,2642169,Bolognese,meat,Menü enthält Schweinefleisch;Menü enthält Knoblauch,Pasta,09.06.2017,"Dresden, Mensa Matrix","Reichenbachstr. 1, 01069 Dresden, Deutschland",main_dish,2,Menü enthält Schweinefleisch;Menü enthält Knoblauch,2
23657,2650304,Tortelloni Arrabiata,none,,Essen,08.06.2017,Mensa HTW Wilhelminenhof,"Wilhelminenhofstraße 75 A, Gebäude G, 12459 Berlin",main_dish,0,,0
89447,303025,Rinderbraten mit Prinzessbohnen und Bäckerinkartoffeln,meat,Sellerie/-erzeugnisse;Milch/-erzeugnisse;Glutenhaltiges;laktosefrei;mit Rind,Campus Spezial,10.12.2012,"Hamburg, Mensa Botanischer Garten","Ohnhorstraße 18, 22609 Hamburg",main_dish,5,laktosefrei;Milch/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;mit Rind,5
2158558,1556479,Vegetarisch: Rührei mit Spinat und Salzkartoffeln,eggs,Knoblauch;vegetarisch,Hauptgerichte,16.10.2015,Mensa Stendal,"Osterburger Str. 25, 39567 Stendal",main_dish,2,vegetarisch;Knoblauch,2
3370528,3518225,Hacksteak mit  Majoran-Kümmel-Soße  Bayerisch Kraut  Kartoffeln,meat,mit Weizen;mit Eier;mit Sellerie;mit Schwefeldioxid/Sulfite,Rind Schwein,24.07.2018,Mensa Ansbach,"Residenzstraße 8, 91522 Ansbach, Germany",main_dish,4,mit Weizen;mit Sellerie;mit Eier,3
2434798,347430,"Chili con carne ""Mexico"" mit roten Bohnen",meat,Gericht mit Rindfleisch;mit Fleisch,Tagesgericht 3,21.02.2013,StuCafé Akademie Weihenstephan,"Alte Akademie 1, Freising",main_dish,2,mit Fleisch,1
624628,181948,Hähnchenbrustfilet mit feuriger Tomatensoße an mediterranem Gemüsereis und Salat,meat,Menü enthält Knoblauch,Angebote,18.09.2012,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,1,Menü enthält Knoblauch,1
924209,2566960,Spaghetti mit,none,,Essen,27.04.2017,Mensa HU Süd,"Unter den Linden 6, 10117 Berlin",main_dish,0,,0
1304698,1274745,Hähnchenschnitzel im Knuspermantel,meat,Gefluegel,Auswahlessen 1,16.04.2015,"Würzburg, Mensa am Hubland","Am Hubland 16I, 97074 Würzburg",main_dish,1,Gefluegel,1
1305675,1562304,Vegane Falafelbällchen auf Kichererbsen mit Gemüse & Sojajoghurt,legumes,Vegan,Vegan,13.10.2015,"Würzburg, Mensa am Hubland","Am Hubland 16I, 97074 Würzburg",main_dish,1,Vegan,1
3989828,12360781,Chickensteakburger Mozzarella-Basilikum,meat,,Essen 5,12.10.2022,Casino Cafeteria,"Theodor-W.-Adorno-Platz 2a, 60323 Frankfurt am Main, Germany",main_dish,0,,0
359251,1126628,Karotten- Ingwersuppe,none,,Suppen,09.01.2015,Mensa FU Veggie Nº 1,"Van't-Hoff-Straße 6, 14195 Berlin",soup,0,,0
2516720,1959087,"Pasta Pollo mit Geflügelbrust in Tomatensoße , Spaghetti",meat,laktosefrei;Glutenhaltiges;Klima Teller;Sellerie/-erzeugnisse;mit Geflügel,Pasta-Bar pro 100g,24.05.2016,"Hamburg, Mensa Armgartstraße","Armgartstraße 24, 22087 Hamburg",main_dish,5,laktosefrei;mit Geflügel;Glutenhaltiges;Sellerie/-erzeugnisse;Klima Teller,5
4280040,14597114,"Kartoffelgratin, Erbsen, Karotten, Gouda (Ei, Mi)",legumes,Eier;Milch und Laktose;vegetarisch,Cafeteria,20.03.2023,Mensa Flensburg,"Thomas-Fincke-Straße 20, 24943 Flensburg",main_dish,3,vegetarisch;Eier;Milch und Laktose,3
2309013,256914,Grünkohl mit Mettwurst und Salzkartoffeln,meat,mit Schweinefleisch;mit Phosphat,Tagesgericht,24.10.2012,"Marburg, Mensa Erlenring","Erlenring, 35037 Marburg",main_dish,2,mit Schweinefleisch;mit Phosphat,2
3478185,15059667,Nudelsuppe,none,mit Antioxidationsmittel;Weizen;Eier;Sellerie;vegetarisch,Suppe,02.05.2023,Mensa WZ Straubing,"Schulgasse 16, 94315 Straubing, Germany",soup,5,vegetarisch;mit Antioxidationsmittel;Sellerie;Eier;Weizen,5
2545766,4488106,"Heringsfilet ""Hausfrauen Art"" mit Petersiliekartoffeln und Gurkensalat",fish,mit Antioxidationsmittel;mit Süßungsmittel;enthält eine Phenylalaninquelle;enthält Hühnerei;enthält Fisch;enthält Milch- und Milchzucker;enthält Senf;enthält Weizen;Fisch,Mittag Ausgabe A,10.09.2019,NANOteria,"Gustav-Kirchhoff-Str. + 5, 98693 + Ilmenau, Deutschland",main_dish,9,Fisch;mit Antioxidationsmittel;mit Süßungsmittel;enthält Senf;enthält Weizen;enthält Milch- und Milchzucker;enthält Hühnerei,7
238580,4967934,Kartoffelsuppe,none,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse,Wahlmenü (Suppe),28.02.2020,Mensa PZH,"An der Universität 2, 30823 Garbsen",soup,4,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse,4
1794623,691750,"Thymian-Reistaler, Tomatensugo",none,ohne Fleisch;Natürlich frisch;mit Knoblauch;Glutenhaltiges Getreide;Eier und Eiererzeugnisse;Milch und Milcherzeugnisse,Wahlmenü (Komponente ohne Fleisch),07.01.2014,Mensa Ricklinger Stadtweg,Ricklinger Stadtweg 120 30459 Hannover,main_dish,6,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse;Glutenhaltiges Getreide;Eier und Eiererzeugnisse;mit Knoblauch,6
3141031,2803010,Tagliatelle Frischkäse-Spinat,none,und einer Beilage nach Wahl,Essen 3,11.09.2017,Mensa Pi x Gaumen,"Max-von-Laue-Str. 9, 60438 Frankfurt am Main, Germany",main_dish,1,,0
2963157,1180543,"Tomateneintopf mit Ravioli (a,g,i) Mehrkornbrötchen (a,g,k)",none,,Eintopf,30.01.2015,"Göttingen, Bistro HAWK","Von-Ossietzky-Straße 99, Göttingen",soup,0,,0
3989820,12357527,Salsa Burger,meat,Rind,Essen 4,11.10.2022,Casino Cafeteria,"Theodor-W.-Adorno-Platz 2a, 60323 Frankfurt am Main, Germany",main_dish,1,Rind,1
808343,3181752,Gekochte Eier mit Erbsen-Wirsing-Curry und Wildreis,eggs,glutenhaltiges Getreide;Eier;Milch/ Milchzucker;Fleischloses Gericht,mensaVital,23.04.2018,"Leipzig, Mensa Peterssteinweg","Straße des 17. Juni 2a, 04107 Leipzig",main_dish,4,Fleischloses Gericht;Milch/ Milchzucker;glutenhaltiges Getreide;Eier,4
3710057,13671604,Pasta mit Gemüsebolognese ,none,mit Weizen;mit Sellerie,Vegan,27.01.2023,Cafeteria Ingolstadt,"Esplanade 10, 85049 Ingolstadt, Germany",main_dish,2,mit Weizen;mit Sellerie,2
2153102,2983682,Hähnchenbrust in Mandelpanade mit Leipziger Allerlei und Petersilienkartoffeln,meat,,Angebote,19.12.2017,"Dresden, Mensa Stimm-Gabel","Wettiner Platz 13, 01067 Dresden",main_dish,0,,0
151494,726584,Gemüsebrühe mit Gemüsestreifen,none,,Suppen,03.02.2014,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",soup,0,,0
990592,880917,Rinderbrühe mit Champignons,meat,,Suppen,17.06.2014,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",soup,0,,0
4291261,10501512,Vegan: 4 Kartoffelpuffer mit Apfelmus,none,mit Antioxidationsmittel,Tellergericht,07.04.2022,"Greifswald, Mensa Berthold-Beitz-Platz","Walther-Rathenau-Straße 48, 17489 Greifswald",main_dish,1,mit Antioxidationsmittel,1
686202,3101121,Zwei Blumenkohl-Käse-Medaillons an Petersiliensauce,none,gelb (Ampel);vegetarisch;bio;Milch und Milchprodukte (inkl. Laktose);Weizen,Essen,06.03.2018,Mensa TU Hardenbergstraße,"Hardenbergstraße 34, 10623 Berlin",main_dish,5,vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen;bio;gelb (Ampel),5
849593,407794,Ratatouille aus dem Wok,none,Fleischloses Gericht;Veganes Gericht;Farbstoff;Konservierungsstoff;Antioxydationsmittel;geschwärzt,WOK 1 Aktion,01.06.2013,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,6,Farbstoff;Konservierungsstoff;Fleischloses Gericht;Antioxydationsmittel;geschwärzt;Veganes Gericht,6
106808,863411,"Schnitzel Bar[4,5]",meat,,Schnitzelbar,02.06.2014,"Karlsruhe, Mensa Moltke","Moltkestraẞe, Karlsruhe",main_dish,0,,0
2625627,863746,Eine gedünstete Fischroulade mit Lachs und Parmesan,fish,,Aktionsstand,02.06.2014,Cafeteria FU Wirtschaftswissenschaften,"Garystr. 21, 14195 Berlin",main_dish,0,,0
1022369,234642,"Hähnchen süß - sauer mit Kokosmilch, Ananas",meat,,Aktionsstand,25.09.2012,Mensa HfM Charlottenstraße,"Charlottenstraße 55, 10117 Berlin",main_dish,0,,0
3203417,4978711,Pancakes mit Blaubeeren,eggs,mit Phosphat;enthält Sulfite;Weizen;Eier;Milch und Milchprodukte;vegetarisch;Alkohol,Hauptgerichte,06.03.2020,Mensa HS Landshut,"Am Lurzenhof 1, 84036 Landshut, Germany",main_dish,7,mit Phosphat;vegetarisch;Alkohol;Eier;Milch und Milchprodukte;enthält Sulfite;Weizen,7
4219663,8553256,Penne an Tomatensugo mit Kräutern,none,Preisrenner;Sellerie;Weizen;vegan,Hauptgericht,08.11.2021,"Stuttgart Mitte, Mensa Central","Stuttgart Mitte, Mensa Central Ossietzkystraße 3 70174 Stuttgart",main_dish,4,vegan;Sellerie;Weizen,3
2039183,2417557,"*Steakwoche* Griechisches Hacksteak  mit Käsefüllung , scharfer Tomaten Sauce dazu Gurkensalat",meat,Gluten;Eier;Milch;Weizen;Rind /Schwein,Empfehlung des Tages,23.01.2017,Mensa Jülich,"Heinrich-Mußmann-Str. 1, 52428 Jülich",main_dish,5,Eier;Milch;Gluten;Weizen,4
2284541,3819927,Münchner Schweinebraten mit dunkler Biersauce,meat,Schweinefleisch;Alkohol;Glutenhaltiges Getreide;Gerste;Weizen;Knoblauch;Milch und Laktose,Aktionsessen 4,12.12.2018,Mensa Garching,"Lichtenbergstr. 2, Garching ",main_dish,7,Glutenhaltiges Getreide;Schweinefleisch;Alkohol;Knoblauch;Weizen;Gerste;Milch und Laktose,7
2841144,3947549,"Penne mit Hackfleisch, Mais, Kidneybohnen und Tomatenrahm",meat,Milch und Milcherzeugnisse (einschließlich Laktose);Weizen;mit Antioxidationsmittel;Rind,Pasta,05.02.2019,360 Grad,"Katharinenstr. 1, 38106 Braunschweig, Germany",main_dish,4,Rind;mit Antioxidationsmittel;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen,4
968404,2469852,Zwei Rinderhacksteaks,meat,,Essen,09.03.2017,Mensa Berliner Hochschule für Technik Luxemburger Straße,"Luxemburger Straße 9, 13353 Berlin",main_dish,0,,0
1144842,266675,"Pfannengyros mit Tsatsiki, dazu deftiger Krautsalat und Kräuterreis",meat,Menü enthält Schweinefleisch;Menü enthält Rindfleisch;Menü enthält Knoblauch,Angebote,06.11.2012,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",main_dish,3,Menü enthält Schweinefleisch;Menü enthält Rindfleisch;Menü enthält Knoblauch,3
3761971,4249887,"Hähnchenbrust, natur, Andalusische Sauce",meat,geschwärzt,Essen I,29.05.2019,"Musikhochschule, Düsseldorf","Fischerstraße 110, 40476 Düsseldorf",main_dish,1,geschwärzt,1
277904,1486778,Möhrensuppe mit Ingwer,none,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse,Wahlmenü (Suppe),09.09.2015,Mensa Caballus,"Bischofsholer Damm 15, 30173 Hannover",soup,3,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse,3
2710216,670515,Pfannengyros AT,meat,Schweinefleisch,Classic 1,11.12.2013,Mensa 1 (Mittag),"Katharinenstr. 1, 38106 Braunschweig",main_dish,1,Schweinefleisch,1
1312251,1405184,Rahmsoße mit Räucherlachs und Spinat,fish,Menü enthält Knoblauch,Angebote,09.07.2015,"Dresden, Mensa Matrix","Reichenbachstr. 1, 01069 Dresden, Deutschland",main_dish,1,Menü enthält Knoblauch,1
636113,2478078,Tomatenrahmsoße,none,Menü ist vegetarisch;Menü enthält Knoblauch,Pasta,17.03.2017,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,2,Menü enthält Knoblauch;Menü ist vegetarisch,2
1186644,4924230,"Kartoffelsuppe mit Wiener, dazu Roggenbrot",meat,Schweinefleisch,Angebot 1,10.02.2020,Mensa Kiepenheuerallee,"Kiepenheuerallee 5, 14469 Potsdam",main_dish,1,Schweinefleisch,1
1211540,2515187,Vier Hefeklöße mit Heidelbeeren,none,Menü ist vegetarisch,Angebote,07.04.2017,"Tharandt, Mensa TellerRandt","Piennerstr. 15, 01737 Tharandt",main_dish,1,Menü ist vegetarisch,1
3785035,11238961,"Pasta-Beilagenauswahl I, Rindfleischstreifen, Schinken, geräuchert",meat,mit Antioxidationsmittel;mit Rindfleisch;mit Nitritpökelsalz;mit Schweinefleisch,zur Pasta,30.05.2022,"restaurant & bar campus vita, Düsseldorf","Universitätsstraße 1, 40225 Düsseldorf",main_dish,4,mit Schweinefleisch;mit Antioxidationsmittel;mit Rindfleisch,3
3737674,2385966,"Reispfanne auf asiatische Artmit Sojasauce, Mini-Frühlingsröllchen und einer Salatbeilage",none,"Vegetarisch;Enthält Zusatzstoffe: Farbstoff;Enthält Allergene: glutenhaltiges Getreide, Soja, Sellerie, Senf, Schwefeldioxid und Sulfite",Tagesgericht 2 (Vegetarisch),24.01.2017,Bistro Frieden,"Scharnhorststraße 100, 48151 Münster, Germany",main_dish,3,Vegetarisch,1
3341827,2450007,"Karottencremesuppe, Tunesisches Ratatouille, Couscous, Blattpetersilie, bunter Mischsalat mit Kräutern",none,Vegetarisch;Vegan,Vegetarisch,14.02.2017,"Mannheim, Mensa am Schloss","Mannheim, Mensa am Schloss Bismarckstraße 10 68159 Mannheim",main_dish,2,Vegan;Vegetarisch,2
4229806,5265620,"Chicken Burger mit Potato-Wedges , Tomaten-Curry-Birnen-Chutney und Salat",meat,Farbstoff;Geflügel;Glutenhaltiges Getreide;Schwefeldioxid (SO2) und Sulfite;Sellerie;Senf;geschwefelt,Ausgabe 1,29.10.2020,"Kaiserslautern, Hochschule Mensa","Morlauterer Straße 31, 67657 Kaiserslautern",main_dish,7,Glutenhaltiges Getreide;Farbstoff;geschwefelt;Geflügel;Sellerie;Senf,6
628161,1160782,Lauchrahmsoße mit Thunfisch,fish,Menü enthält Knoblauch,Pasta,30.01.2015,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,1,Menü enthält Knoblauch,1
843537,191075,Asiapfanne mit Hähnchenstreifen oder Tofu,meat,,WOK 2 Aktion,10.11.2012,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,0,,0
3235511,3770220,Scharfer Kichererbsentopf,legumes,Basmatireis;Vegan,Essen 3,14.11.2018,Cafeteria DASEIN,"Grüneburgplatz 1, 60323 Frankfurt am Main, Germany",main_dish,2,Vegan,1
2754473,2019806,Gemüseauflauf mit Nudeln,none,Vegetarisch;Weizen;Ei und Eierprodukte;Milch und Milchprodukte (inkl. Laktose),Aufläufe & Gratin,14.06.2016,Uni Mensa,"Leobener Straße 3, 28359 Bremen, Germany",main_dish,4,Vegetarisch;Milch und Milchprodukte (inkl. Laktose);Ei und Eierprodukte;Weizen,4
3230395,4672497,Brasilianisches Geschnetzeltes,meat,und Vollkornreis;MensaVital;Schwein,Essen 5,11.11.2019,Mensa HfMDK,"Eschersheimer Landstraße 35, 60322 Frankfurt am Main, Germany",main_dish,3,Schwein;MensaVital,2
2232049,1558704,Wildreis mit gebratenen Champignonköpfen und Kräutern,none,Vegan,Vegan,21.10.2015,Mensa Schweinfurt,"Fritz-Drescher-Straße, 97421 Schweinfurt",main_dish,1,Vegan,1
1194840,4589667,Beelitzer Nudeln mit Tomaten-Mango-Belugalinsen-Ragout,legumes,Vegan;Vital,Angebot 4,17.10.2019,Mensa Wildau,"Bahnhofstr. 1, 15745 Wildau",main_dish,2,Vegan,1
2030947,11378378,Hühnerfrikassé mit Spargel | Butterreis,meat,Gluten;Weizen;Milch,Empfehlung des Tages,23.06.2022,"Aachen, Mensa Bayernallee","Bayernallee 9, 52066 Aachen",main_dish,3,Milch;Gluten;Weizen,3
930890,3564631,Drei gebackene Kartoffeltaschen mit Frischkäsefüllung an Kräuter-Joghurt-Dip,none,gelb (Ampel);vegetarisch;bio;Antioxidationsmittel;Milch und Milchprodukte (inkl. Laktose),Essen,24.08.2018,Mensa HU Süd,"Unter den Linden 6, 10117 Berlin",main_dish,5,Antioxidationsmittel;vegetarisch;Milch und Milchprodukte (inkl. Laktose);bio;gelb (Ampel),5
3127749,2615644,Basic Burger,meat,,Essen 6,17.05.2017,Mensa Casino,"Grüneburgplatz 1, 60323 Frankfurt am Main, Germany",main_dish,0,,0
2320638,192413,Zucchini Hackfleischtopf mit Penne,meat,Sellerie/-erzeugnisse;mit Rind;Soja/-erzeugnisse;Geschmacksverstärker;Glutenhaltiges;laktosefrei,Gut und günstig,17.09.2012,"Hamburg, Mensa Berliner Tor","Berliner Tor 7, 20099 Hamburg",main_dish,6,Geschmacksverstärker;laktosefrei;Soja/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;mit Rind,6
1532777,7884618,"Hähnchengeschnetzeltes ""Madras Art"" mit Sprossengemüse und Cashewkernen, dazu Basmatireis",meat,Geflügel;Knoblauch,Angebot 2,17.08.2021,Mensa Golm,"Karl-Liebknecht-Str. 24/25, 14476 Potsdam OT Golm",main_dish,2,Geflügel;Knoblauch,2
2144124,2932519,"Hühnersuppentopf | Reis, Gemüse  | Brötchen",meat,Gerste;Weizen;Milch;Sellerie;Sojabohnen;Gluten,Tellergericht,20.11.2017,"Aachen, Mensa EUPS","Eupener Str. 70, 52066 Aachen",main_dish,6,Sellerie;Milch;Gluten;Weizen;Gerste;Sojabohnen,6
2616550,3995144,Ein Paar Bratwürste mit Zwiebelsoße,meat,mit Phosphat;glutenhaltiges Getreide;Soja;Sellerie;Senf;Schwefeldioxid und Sulfite;Weizen;Gerste;Alkohol;Schwein,Auswahlessen 1,25.02.2019,Mensa Aschaffenburg,"Würzburger Straße 45, 63743 Aschaffenburg",main_dish,10,Schwein;mit Phosphat;Alkohol;Schwefeldioxid und Sulfite;Soja;Sellerie;Senf;glutenhaltiges Getreide;Weizen;Gerste,10
2984639,848973,"Balkanröllchen vom Schwein, mit Tzatziki, Obst / Joghurt",meat,,Menü I,23.05.2014,"Göttingen, Zentralmensa","Platz der Göttinger Sieben 4, Göttingen",main_dish,0,,0
2213965,1938983,Indisches Linsencurry,legumes,veganes Gericht,Tagesgericht 1,08.06.2016,Mensa Weihenstephan,"Am Forum 3, Freising",main_dish,1,veganes Gericht,1
1711882,4681294,Paprika-Rahmgeschnetzeltes vom Schwein mit Brokkoli und Petersilienkartoffeln,meat,geschwefelt;enthält Milch- und Milchzucker;enthält Schwefeloxid/Sulfite;enthält Weizen;Schweinefleisch;enthält Alkohol;Knoblauch,Mittag Ausgabe B,18.11.2019,Mensa Ehrenberg,"Max-Planck-Ring + 1, 98693 + Ilmenau, Deutschland",main_dish,7,Schweinefleisch;geschwefelt;Knoblauch;enthält Weizen;enthält Milch- und Milchzucker,5
2840612,2918802,Pikante Paprika-Cremesuppe,none,Milch und Milcherzeugnisse (einschließlich Laktose);vegetarisch,Suppe,16.11.2017,360 Grad,"Katharinenstr. 1, 38106 Braunschweig, Germany",soup,2,vegetarisch;Milch und Milcherzeugnisse (einschließlich Laktose),2
2224744,4265462,Frische Rahmschwammerl,none,Glutenhaltiges Getreide;Weizen;Knoblauch;Milch und Laktose,Tagesgericht 3,13.06.2019,Mensa Weihenstephan,"Am Forum 3, Freising",main_dish,4,Glutenhaltiges Getreide;Knoblauch;Weizen;Milch und Laktose,4
1440705,1188194,"Kalbsgeschnetzeltes ""Züricher Art"" (A,H.J)",meat,,Empfehlung des Tages,13.02.2015,"Aachen, Mensa Vita","Helmertweg 1, 52074 Aachen",main_dish,0,,0
171136,2590278,Bulgur-Gemüseburger,none,,Essen,09.05.2017,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",main_dish,0,,0
705884,14749969,Aktionstheke: Veganes Wokgemüse mit Sweet Chili Sauce dazu Mie Nudeln,none,"Zusatzstoffe: Farbstoff, Konservierungsstoff, Süßungsmittel;Allergene: Soja, Sesam;Vegetarische Speisen (V), Vegane Speisen (V*), enthält Alkohol (A), Knoblauch (K)",Fleisch,12.04.2023,Mensa Nordhäuser Straße,"Nordhäuser Straße + 63, 99089 + Erfurt, Deutschland",main_dish,3,,0
1011702,3400152,"Ebly - Sonnenweizen mit Zucchini, Paprika, Karotten und Rosmarin",none,grün (Ampel);vegan;Weizen,Essen,29.06.2018,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",main_dish,3,vegan;Weizen;grün (Ampel),3
4158532,4323706,Ofenfrische Hähnchenkeule vom Grill,meat,Geflügel;Gefluegel,Auswahlessen 1,19.06.2019,"Würz­burg, In­te­rims­men­sa Spra­chen­zen­trum","Mat­thi­as-Lexer-Weg 25, 97074 Würz­burg",main_dish,2,Geflügel;Gefluegel,2
4142590,14071949,Hähnchenschnitzel mit Karottengemüse und Pommes frites,meat,ohne deklarationspflichtige Zusatzstoffe;Allergene: Milch- und Milchzucker;Geflügel (G),Fleisch,18.02.2023,Cafeteria Mensa Ehrenberg,"Max-Planck-Ring 1, 98693 Ilmenau, Germany",main_dish,3,ohne deklarationspflichtige Zusatzstoffe,1
2932347,1719587,"Chili con Carne mit Mais, Paprika und Bohnen",meat,,Otto B.,21.01.2016,"Darmstadt, Mensa Stadtmitte"," Alexanderstraße 14, 64283 Darmstadt, Germany",main_dish,0,,0
21145,2243441,Spiralnudeln,none,,Essen,01.11.2016,Mensa HTW Wilhelminenhof,"Wilhelminenhofstraße 75 A, Gebäude G, 12459 Berlin",main_dish,0,,0
2915060,3681312,Tomatensauce,none,Vegan;mit Farbstoff;Weizen,Pasta Buffetpro 100g,10.10.2018,Mensa Neustadtswall,"Neustadtswall 33, 28199 Bremen, Germany",main_dish,3,mit Farbstoff;Vegan;Weizen,3
626438,396270,Sahnesoße mit Wurzelgemüse und Seelachs,fish,Menü enthält Alkohol,Pasta,05.04.2013,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,1,,0
