meal_id,meal_name,true_dietary_type,meal_category,notes_list,notes_list_90,is_vegetarian,is_vegan,is_omnivorous,dietary_type
3678563,"Fleischbällchen Köttbullar, Rahmsauce",omnivor,Essen I,Weizen;Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;Gerste;Soja und Sojaerzeugnisse;mit Schweinefleisch;Sellerie und Sellerieerzeugnisse;mit Rindfleisch,mit Schweinefleisch;Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;mit Rindfleisch;mit Milcheiweiß;Weizen;Gerste;Milch und Milcherzeugnisse / enthält Laktose,FALSCH,FALSCH,WAHR,omnivorous
2803142,Holzfällersteak mit Schmorzwiebeln und Champignons,omnivor,Wahlmenü (Komponente mit Fleisch),Schweinefleisch;Natürlich frisch,Natürlich frisch;Schweinefleisch,FALSCH,FALSCH,WAHR,omnivorous
1899328,Gemüse- und Schweinrückenstreifen mit gerösteten Spätzle,omnivor,Beliebt und gerne gegessen,Sellerie/-erzeugnisse;Glutenhaltiges;Ei/-erzeugnisse;mit Schwein;laktosefrei;Mensa Vital,laktosefrei;Glutenhaltiges;Sellerie/-erzeugnisse;mit Schwein;Ei/-erzeugnisse;Mensa Vital,FALSCH,FALSCH,WAHR,omnivorous
2938823,Hausgemachte Pasta mit Tomatenpesto,vegetarisch,Pasta,Menü ist vegan;Menü enthält Knoblauch,Menü enthält Knoblauch;Menü ist vegan,WAHR,WAHR,FALSCH,vegan
2019729,Tomatensauce,vegetarisch,Pasta Buffetpro 100g,Vegan;mit Farbstoff;Weizen,mit Farbstoff;Vegan;Weizen,WAHR,WAHR,FALSCH,vegan
873393,Lammhacksteak auf Kichererbsen-Tomatenragout,omnivor,Essen C,Lamm,Lamm,FALSCH,FALSCH,WAHR,omnivorous
571656,"Spaghetti mit getrockneten Tomaten(3), frischer Blattspinat, Pinienkernen und Grana Padano(2), dazu Tessiner Mischsalat",vegetarisch,Alternativ-Angebot,ovo-lacto-vegetabil,ovo-lacto-vegetabil,WAHR,FALSCH,FALSCH,vegetarian
2533461,"Pizza mit Salami oder Pizza Quattro formaggi mit Gorgonzola, Gouda, Hirtenkäse und Mozzarella (vegetarisch)",omnivor,Angebote,Menü enthält Schweinefleisch,Menü enthält Schweinefleisch,FALSCH,FALSCH,WAHR,omnivorous
5014649,Gemüse Balls mit Sojaprotein,vegetarisch,Hauptkomponente,Kräuter-Sahnesoße;glutenhaltiges Getreide;Eier;Soja;Sellerie;Milch/ Milchzucker,Milch/ Milchzucker;Soja;Sellerie;glutenhaltiges Getreide;Eier,FALSCH,FALSCH,WAHR,omnivorous
10047472,Nudeln mit mediterraner Tomatensauce und geröstetem Buchweizen,vegetarisch,Angebot 1,Vegan,Vegan,WAHR,WAHR,FALSCH,vegan
481585,Acht-Gemüsepfanne,vegetarisch,WOK 1 Aktion,Fleischloses Gericht;Veganes Gericht;Farbstoff;Konservierungsstoff;Antioxydationsmittel;geschwärzt;Geschmacksverstärker,Farbstoff;Konservierungsstoff;Geschmacksverstärker;Fleischloses Gericht;Antioxydationsmittel;geschwärzt;Veganes Gericht,WAHR,WAHR,FALSCH,vegan
2660337,Paella mit Hühnerfleisch und Meeresfrüchten,omnivor,Aktionsstand,,,FALSCH,FALSCH,WAHR,omnivorous
12466900,Burgunderbraten mit Semmelknödel,omnivor,Hauptgerichte,enthält Sulfite;Weizen;Eier;Milch und Milchprodukte;Sellerie;Rindfleisch;Alkohol,Rindfleisch;Alkohol;Sellerie;Eier;Milch und Milchprodukte;enthält Sulfite;Weizen,FALSCH,FALSCH,WAHR,omnivorous
2268807,Hacksteak,omnivor,Rind Schwein,"Gericht enthält Gluten, Eier, Soja.",,FALSCH,FALSCH,WAHR,omnivorous
2333790,Lasagne Bologneser Art,omnivor,Auflauf,Menü enthält Schweinefleisch,Menü enthält Schweinefleisch,FALSCH,FALSCH,WAHR,omnivorous
15332691,"ofenfrisch...bis 16:00 Uhr..,, Flammkuchen mit Speck und Zwiebeln ""Elsässer Style""",omnivor,CampusKlassiker,"Lieblingsessen;Milch und Milcherzeugnisse (einschl. Laktose);Schwein;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);mit Antioxidationsmittel;mit Konservierungsstoff;mit Phosphat","Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);Milch und Milcherzeugnisse (einschl. Laktose)",FALSCH,FALSCH,WAHR,omnivorous
13664999,"Falafelbällchen (A, A1) in Tomatensoße, dazu Broccoliröschen und Bulgur mit Dörrobst (A, A1, L)",vegetarisch,Angebot 2,Menü ist vegan;mit Konservierungsstoff (2);mit Antioxydationsmittel (3);geschwefelt (5);Glutenhaltiges Getreide (A);Weizen (A1);Sulfit/Schwefeldioxid (L),Menü ist vegan;mit Antioxydationsmittel (3);Glutenhaltiges Getreide (A);Weizen (A1);mit Konservierungsstoff (2),WAHR,WAHR,FALSCH,vegan
13375964,Wurstgulasch,omnivor,Pastateller,glutenhaltiges Getreide;Weizen;Sellerie;Senf;Milch/ Milchzucker;Veganes Gericht;Konservierungsstoff;Antioxidationsmittel;Phosphat,Konservierungsstoff;Antioxidationsmittel;Phosphat;Veganes Gericht;Milch/ Milchzucker;Sellerie;Senf;glutenhaltiges Getreide;Weizen,WAHR,WAHR,FALSCH,vegan
466356,"Königsberger Klopse mit Kapernsoße , Salzkartoffeln und Rote Beete Salat",omnivor,Tagesgericht,Ei/-erzeugnisse;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Senf/-erzeugnisse;Süßungsmittel,Süßungsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Senf/-erzeugnisse;Glutenhaltiges;mit Schwein;Ei/-erzeugnisse,FALSCH,FALSCH,WAHR,omnivorous
1991093,oder Falafel,vegetarisch,WOK-Pfanne Premium,Schwein;Geflügel;Lamm;Rind;Veganes Gericht;mit Farbstoff;mit Konservierungsstoff;mit Antioxidationsmitteln;geschwefelt;geschwärzt;glutenhaltiges Getreide;Krebstiere;Eier;Milch/ Milchzucker;Soja;Sellerie;Schalenfrüchte/ Nüsse;Sesam;Sulfit/ Schwefeldioxid;Weichtiere,geschwefelt;Rind;Schwein;Geflügel;mit Konservierungsstoff;mit Farbstoff;geschwärzt;Veganes Gericht;Lamm;Milch/ Milchzucker;Soja;Sellerie;glutenhaltiges Getreide;Eier;mit Antioxidationsmitteln;Sulfit/ Schwefeldioxid;Sesam;Schalenfrüchte/ Nüsse,WAHR,WAHR,FALSCH,vegan
12580648,Tagliatelle mit Auberginen und schwarzen Oliven,vegetarisch,Hauptgericht,Sellerie;Weizen;geschwärzt;hauseigene Nudelmanufaktur;vegan,vegan;geschwärzt;Sellerie;Weizen,WAHR,WAHR,FALSCH,vegan
305174,"Pasta ""Martigiana"" mit Speck und Tomaten mit Penne und Parmesan",omnivor,Pasta-Bar pro 100g,Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Antioxidationsmittel,Antioxidationsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein,FALSCH,FALSCH,WAHR,omnivorous
4897686,"Schlemmerfilet ""Bordelaise""",omnivor,Essen B,Fisch;Weizen,Fisch;Weizen,FALSCH,FALSCH,WAHR,omnivorous
1507136,Ein gebratenes Schollenfilet Finkenwerder Art,omnivor,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
15050710,"Vegane Frikadelle mit Paprikagemüse, dazu Grillkartoffeln",vegetarisch,Abendangebot,Vegan,Vegan,WAHR,WAHR,FALSCH,vegan
939853,Seelachsfilet mit Broccoli - Käsefüllung,omnivor,Auswahlessen 2,Fisch,Fisch,FALSCH,FALSCH,WAHR,omnivorous
4347139,Frische Rahmschwammerl,vegetarisch,Tagesgericht 3,Glutenhaltiges Getreide;Weizen;Knoblauch;Milch und Laktose,Glutenhaltiges Getreide;Knoblauch;Weizen;Milch und Laktose,FALSCH,FALSCH,WAHR,omnivorous
2126515,"Gemüselasagne mit Zucchini, Auberginen, Karotten, Tomaten und Paprika, dazu Basilikumsoße",vegetarisch,Angebote,Menü ist vegetarisch,Menü ist vegetarisch,WAHR,FALSCH,FALSCH,vegetarian
4016196,Esterhazygulasch vom Rind,omnivor,Aktionsessen 4,Rindfleisch;Glutenhaltiges Getreide;Gerste;Weizen;Knoblauch;Milch und Laktose;Sellerie;Geprüfte Qualität Bayern,Glutenhaltiges Getreide;Rindfleisch;Sellerie;Knoblauch;Weizen;Gerste;Milch und Laktose;Geprüfte Qualität Bayern,FALSCH,FALSCH,WAHR,omnivorous
372930,Pfefferhacksteak  dazu Kaisergemüse  und Kräuterpasta oder Bratkartoffeln,omnivor,Angebot 3,mit Rindfleisch,mit Rindfleisch,FALSCH,FALSCH,WAHR,omnivorous
1461758,Vollkornspirelli,vegetarisch,Pasta-Teller,,,FALSCH,FALSCH,WAHR,omnivorous
517633,Eine Bratwurstschnecke,omnivor,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
2310688,Eine Scheibe Fleischkäse,omnivor,Aktionsstand,,,FALSCH,FALSCH,WAHR,omnivorous
14697575,"Hausgemachte Pasta, Linsenbolognese",vegetarisch,FRIENDS,vegan;KlimaTeller,vegan;KlimaTeller,WAHR,WAHR,FALSCH,vegan
1579616,"Mediterraner Crepe , mit Gemüsefüllung , Tomaten-Basilikumsoße",vegetarisch,Vegetarisch,Klima Teller;Ei/-erzeugnisse;Sellerie/-erzeugnisse;Milch/-erzeugnisse;vegetarisch;Glutenhaltiges,vegetarisch;Milch/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Klima Teller;Ei/-erzeugnisse,WAHR,FALSCH,FALSCH,vegetarian
2246757,Frühlingsrolle mit Hähnchenfleisch,omnivor,Tagesmenü,"mit Geflügel;mit süßsaurer Soße Es können 3 Wahlbeilagen gewählt werden: Curryreis, Penne Rigate, Pariser Karotten, Wokgemüse, Beilagensalate, Götterspeise, Pfirsich-Dickmilch, Vanillepudding oder Eis",mit Geflügel,FALSCH,FALSCH,WAHR,omnivorous
3195662,Schlesischer Hefering mit Vanillesauce,vegetarisch,Aktionen,gelb (Ampel);vegetarisch;Milch und Milchprodukte (inkl. Laktose);Hefe;Weizen,vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen;Hefe;gelb (Ampel),WAHR,FALSCH,FALSCH,vegetarian
1562913,Auf der Haut gebratenes Lachsforellenfilet,omnivor,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
4326590,Gelbes Thaicurry mit buntem Gemüse & Sojaschnetzel,vegetarisch,WOK,oder Hähnchenfleisch;mit Konservierungsstoff;glutenhaltiges Getreide;Soja;Sellerie;Veganes Gericht,mit Konservierungsstoff;Veganes Gericht;Soja;Sellerie;glutenhaltiges Getreide,WAHR,WAHR,FALSCH,vegan
1113483,Schupfnudel-Gemüsepfanne,vegetarisch,Vegetarisch,Fleischlos,Fleischlos,WAHR,FALSCH,FALSCH,vegetarian
500646,Grünes WOK-Gemüse mit Schweinefleisch oder Tofu,vegetarisch,WOK 2 Aktion,Schwein;Geflügel;Lamm;Rind;Veganes Gericht;Fisch;Farbstoff;Konservierungsstoff;Antioxydationsmittel;Geschmacksverstärker;geschwärzt;mit Phosphat,Farbstoff;Konservierungsstoff;Geschmacksverstärker;Rind;Schwein;Fisch;Geflügel;mit Phosphat;Antioxydationsmittel;geschwärzt;Veganes Gericht;Lamm,WAHR,WAHR,FALSCH,vegan
2710213,gebratener Reis mit Hühnerfleisch und Asiagemüse ,omnivor,Geflügel,mit Weizen;mit Soja,mit Weizen;mit Soja,FALSCH,FALSCH,WAHR,omnivorous
3648985,Hausgemachtes Schnitzel vom Schweinerücken nach Wiener Art Pommes frites und Salat,omnivor,Aktionen,gelb (Ampel);Schweinefleisch bzw. mit Gelatine vom Schwein;Weizen;Eier;Sellerie;Hefe;Senf,Sellerie;Senf;Eier;Weizen;Schweinefleisch bzw. mit Gelatine vom Schwein;Hefe;gelb (Ampel),FALSCH,FALSCH,WAHR,omnivorous
2744223,Paprikarahmgulasch vom Schwein,omnivor,Auswahlessen 2,Schwein,Schwein,FALSCH,FALSCH,WAHR,omnivorous
4891219,"Hähnchenbrust, natur, Andalusische Sauce",omnivor,Essen I,geschwärzt,geschwärzt,FALSCH,FALSCH,WAHR,omnivorous
1611341,Schweinerückensteak mit Mischpilzen überbacken,omnivor,Hauptkomponenten,,,FALSCH,FALSCH,WAHR,omnivorous
1695792,Hamburger Schnitzel (mit Setzei),omnivor,Hauptkomponenten,,,FALSCH,FALSCH,WAHR,omnivorous
4385727,Grillgemüse im Fladenbrot mit veganem Kräuter-Dip,vegetarisch,Angebote,vegan,vegan,WAHR,WAHR,FALSCH,vegan
4133190,Eine vegetarische Frühlingsrolle an Koriander-Chili-Dip,vegetarisch,Essen,rot (Ampel);vegetarisch;Antioxidationsmittel;Süßungsmittel;Weizen;Eier;Sellerie;Soja;Sesam,Antioxidationsmittel;Süßungsmittel;vegetarisch;Soja;Sellerie;Eier;Sesam;Weizen;rot (Ampel),WAHR,FALSCH,FALSCH,vegetarian
1119258,Schupfnudeln mit Rahmsauerkraut,vegetarisch,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
3703178,"Geflügelragout süß-sauer mit Bambussprossen, roter Paprika und Ananas",omnivor,Essen,gelb (Ampel);konserviert;Soja;Schwefeldioxid und Sulfide,Soja;Schwefeldioxid und Sulfide;konserviert;gelb (Ampel),FALSCH,FALSCH,WAHR,omnivorous
2329220,Putenbrustgeschnetzeltes mit Karotten-Orangensoße,omnivor,Geflügel,Gericht enthält undefinierte Chemikalien:G.,,FALSCH,FALSCH,WAHR,omnivorous
2092503,"2 Stück Hähnchenschnitzel ""Wiener Art""",omnivor,Auswahlessen 1,Gefluegel,Gefluegel,FALSCH,FALSCH,WAHR,omnivorous
2775765,Hähnchen- Filet- Spieß mit Reis,omnivor,Hauptgerichte,mit Antioxidationsmittel;Milch und Milchprodukte;Sellerie;Geflügel,Geflügel;mit Antioxidationsmittel;Sellerie;Milch und Milchprodukte,FALSCH,FALSCH,WAHR,omnivorous
2579285,Fünf Cevapcici vom Rind,omnivor,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
3507183,"Seelachs im Backteig, Zitronen-Butter-Soße , Erbsen, Kartoffel-Kräuter-Püree",omnivor,Essen 3,Fisch;Senf;mit Antioxidationsmittel;Milch,Fisch;mit Antioxidationsmittel;Senf;Milch,FALSCH,FALSCH,WAHR,omnivorous
13480483,Bohnen-Kartoffelcurry,vegetarisch,Essen 3,mit Naan Brot;Vegan,Vegan,WAHR,WAHR,FALSCH,vegan
2001108,Pizza Champignons-Lachs,omnivor,Essen 7,,,FALSCH,FALSCH,WAHR,omnivorous
1870185,Braumeistersteak (mit Schinken und Käse gefüllt),omnivor,Hauptkomponenten,,,FALSCH,FALSCH,WAHR,omnivorous
1129022,Fleischspieß mit Paprikasoße,omnivor,Essen B,Schweinefleisch,Schweinefleisch,FALSCH,FALSCH,WAHR,omnivorous
749331,"Schweineschnitzel oder Möhrenschnitzel, dazu Champignon-Lauchgemüse  oder Erbsen-Mais-Gemüse mit Kartoffelkroketten",omnivor,Abendangebot,Menü enthält Schweinefleisch,Menü enthält Schweinefleisch,FALSCH,FALSCH,WAHR,omnivorous
2279185,Reis mit asiatischem Gemüse und Koriander,vegetarisch,Tagesgericht 1,veganes Gericht;vegan;mit Konservierungsstoff,vegan;mit Konservierungsstoff;veganes Gericht,WAHR,WAHR,FALSCH,vegan
1060468,Geflügelleber in Rotweinsoße,omnivor,Hauptkomponenten,,,FALSCH,FALSCH,WAHR,omnivorous
4514137,"Penne mit Brokkoli in Rahm ,dazu Salat und Dessert",vegetarisch,Tagesgericht,Ohne Fleisch;Kinderteller;Gluten aus Weizen & Erzeugnisse;mit Farbstoff;Soja & Erzeugnisse;Milch & Erzeugnisse;Senf & Erzeugnisse,mit Farbstoff;Gluten aus Weizen & Erzeugnisse;Milch & Erzeugnisse;Soja & Erzeugnisse;Ohne Fleisch;Senf & Erzeugnisse;Kinderteller,WAHR,FALSCH,FALSCH,vegetarian
902724,Currywurst mit Pommes frites,omnivor,Hauptgerichte,Schwein;mit Konservierungsstoff;mit Antioxidationsmittel;mit Geschmacksverstärker;mit Phosphat;mit Farbstoff,Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;mit Geschmacksverstärker;mit Farbstoff,FALSCH,FALSCH,WAHR,omnivorous
3516213,"Kibbelinge im Backteig, Tatarensauce",omnivor,Essen I,Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;Fisch und Fischerzeugnisse;Senf und Senferzeugnisse;mit Süßungsmittel;Weizen;Mit Konservierungsmittel;Eier und Eierzeugnisse,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Süßungsmittel;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Milch und Milcherzeugnisse / enthält Laktose,FALSCH,FALSCH,WAHR,omnivorous
4434333,"Sonnenweizen mit frischer Zucchini, Paprika, und Karotten",vegetarisch,Essen,grün (Ampel);vegan;Klimaessen;Weizen,vegan;Weizen;Klimaessen;grün (Ampel),WAHR,WAHR,FALSCH,vegan
906620,Schwäbische Spätzle mit Champignonsauce(2)(3),vegetarisch,Angebot 1,ovo-lacto-vegetabil,ovo-lacto-vegetabil,WAHR,FALSCH,FALSCH,vegetarian
4726826,"Köttbullar (Fleischbällchen) mit Rahmsauce und Spirelli-Nudeln, Salatbeilage",omnivor,Tagesgericht 1,"Schwein;Rind;Enthält Allergene: Weizen, Milch",Rind;Schwein,FALSCH,FALSCH,WAHR,omnivorous
3990695,"Mediterrane Frikadelle, Créme-fraîche-Sauce",omnivor,Wahlmenü (Komponente mit Fleisch),Rindfleisch;Eier und Eiererzeugnisse;Milch und Milcherzeugnisse;mit Knoblauch,Milch und Milcherzeugnisse;Eier und Eiererzeugnisse;mit Knoblauch;Rindfleisch,FALSCH,FALSCH,WAHR,omnivorous
8741840,"Hausgemachte Pasta, Linsenbolognese",vegetarisch,FRIENDS,ohne Fleisch;vegan;Natürlich frisch;KlimaTeller,vegan;ohne Fleisch;Natürlich frisch;KlimaTeller,WAHR,WAHR,FALSCH,vegan
10640103,Amerikanischer Krautsalat vegan,vegetarisch,QUEERBEET,vegan,vegan,WAHR,WAHR,FALSCH,vegan
3719652,Deftige Grillhaxe mit Schwarzbiersauce,omnivor,Hauptessen,,,FALSCH,FALSCH,WAHR,omnivorous
8191288,"Steckrüben- Kartoffel- Karotten- Gratin, Rucolaquark",vegetarisch,Mittagessen,Ei;Mi,Ei,FALSCH,FALSCH,WAHR,omnivorous
2770632,"Käsetortellini  (19,15,20a), Spinatsauce",vegetarisch,Essen II,Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;fleischlos (enthält tierische Erzeugnisse),mit Milcheiweiß;Milch und Milcherzeugnisse / enthält Laktose;fleischlos (enthält tierische Erzeugnisse),WAHR,FALSCH,FALSCH,vegetarian
2481483,"Vanillegrießbrei mit Zimt, Zucker und Schattenmorellen",vegetarisch,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
2430710,"Grünkohl, Bregenwurst, Senf, Salzkartoffeln",omnivor,Tellergericht,Schweinefleisch;Konservierungsstoff;Antioxidationsmittel;Phosphat;Nitritpökelsalz;Glutenhaltiges Getreide;Senf und Senferzeugnisse,Glutenhaltiges Getreide;Konservierungsstoff;Schweinefleisch;Senf und Senferzeugnisse;Antioxidationsmittel;Nitritpökelsalz;Phosphat,FALSCH,FALSCH,WAHR,omnivorous
5255721,"Country-Pfanne, Falaffel, Paprika Kartoffelspalten Paprika-Maissoße",vegetarisch,Mittagessen,Weizen;Sellerie,Sellerie;Weizen,FALSCH,FALSCH,WAHR,omnivorous
10251122,"Hausgemachte Dinkelpasta, Linsenbolognese",vegetarisch,FRIENDS,ohne Fleisch;vegan;KlimaTeller,vegan;ohne Fleisch;KlimaTeller,WAHR,WAHR,FALSCH,vegan
2920588,"Schneller Teller: Hähnchenragout mit Erbsen und Möhren in Rahm, dazu Wildreis",omnivor,Auswahlessen 1,Gefluegel,Gefluegel,FALSCH,FALSCH,WAHR,omnivorous
1506984,Hackfleischragout vom Rind und saurer Sahne,omnivor,Aktionsstand,,,FALSCH,FALSCH,WAHR,omnivorous
4302418,Pastavariation nach Angebot,vegetarisch,Pastateller,glutenhaltiges Getreide;Soja;Sellerie;Milch/ Milchzucker;Senf;Eier;Veganes Gericht;mit Konservierungsstoff,mit Konservierungsstoff;Veganes Gericht;Milch/ Milchzucker;Soja;Sellerie;Senf;glutenhaltiges Getreide;Eier,WAHR,WAHR,FALSCH,vegan
192751,Schinkennudeln mit Käsesoße,omnivor,Gut und günstig,Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Antioxidationsmittel,Antioxidationsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein,FALSCH,FALSCH,WAHR,omnivorous
4651026,"Puten-Pfannen-Gyros, Zaziki",omnivor,Essen I,Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;mit Säurungsmittel,mit Milcheiweiß;Milch und Milcherzeugnisse / enthält Laktose;mit Säurungsmittel,FALSCH,FALSCH,WAHR,omnivorous
4164049,Schweine Cordon Bleu mit Twister,omnivor,Hauptgerichte,mit Farbstoff;mit Konservierungsstoff;mit Antioxidationsmittel;mit Phosphat;Gluten;Weizen;Milch und Milchprodukte;Schweinefleisch,Schweinefleisch;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;mit Farbstoff;Gluten;Milch und Milchprodukte;Weizen,FALSCH,FALSCH,WAHR,omnivorous
