Column1,meal_id,meal_name,has_veg_comp,has_veg_comp2,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
3722321,4765935,Gnocchi-Hackpfanne mit Süßkartoffeln ,False,none,mit Weizen;mit Eier;mit Milch/Laktose,Rind,19.12.2019,Cafeteria Eichstätt,"Universitätsallee 2, 85072 Eichstätt",main_dish,3,mit Weizen;mit Milch/Laktose;mit Eier,3
708551,822393,Gebratener Chicoree,True,heavily_processed,,Aktionsstand,24.04.2014,Cafeteria TU Ernst-Reuter-Platz,"Straße des 17. Juni 152, 10623 Berlin",main_dish,0,,0
2147349,4767138,Blumenkohlnuggets | Joghurtdip,True,heavily_processed,Gluten;Weizen;Eier;Milch;OLV,Vegetarisch,18.12.2019,"Aachen, Mensa EUPS","Eupener Str. 70, 52066 Aachen",main_dish,5,Eier;Milch;Gluten;Weizen;OLV,5
3427228,1770402,Gebratenes Lachsfilet auf Zitronensauce,False,none,,Hauptessen,08.02.2016,Mensa Bernburg,"Strenzfelder Allee 20, 06406 Bernburg",main_dish,0,,0
3772162,3678563,"Fleischbällchen Köttbullar, Rahmsauce",False,none,Weizen;Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;Gerste;Soja und Sojaerzeugnisse;mit Schweinefleisch;Sellerie und Sellerieerzeugnisse;mit Rindfleisch,Essen I,11.10.2018,"Kunstakademie, Düsseldorf","Eiskellerstraße 1, 40213 Düsseldorf",main_dish,8,mit Schweinefleisch;Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;mit Rindfleisch;mit Milcheiweiß;Weizen;Gerste;Milch und Milcherzeugnisse / enthält Laktose,8
471576,2803142,Holzfällersteak mit Schmorzwiebeln und Champignons,True,gently_processed,Schweinefleisch;Natürlich frisch,Wahlmenü (Komponente mit Fleisch),12.09.2017,Mensa TiHo-Tower,"Bünteweg 2, 30559 Hannover",main_dish,2,Natürlich frisch;Schweinefleisch,2
2324743,1899328,Gemüse- und Schweinrückenstreifen mit gerösteten Spätzle,True,gently_processed,Sellerie/-erzeugnisse;Glutenhaltiges;Ei/-erzeugnisse;mit Schwein;laktosefrei;Mensa Vital,Beliebt und gerne gegessen,29.04.2016,"Hamburg, Mensa Berliner Tor","Berliner Tor 7, 20099 Hamburg",main_dish,6,laktosefrei;Glutenhaltiges;Sellerie/-erzeugnisse;mit Schwein;Ei/-erzeugnisse;Mensa Vital,6
1159210,2938823,Hausgemachte Pasta mit Tomatenpesto,True,heavily_processed,Menü ist vegan;Menü enthält Knoblauch,Pasta,08.12.2017,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",main_dish,2,Menü enthält Knoblauch;Menü ist vegan,2
2902275,2019729,Tomatensauce,True,heavily_processed,Vegan;mit Farbstoff;Weizen,Pasta Buffetpro 100g,16.06.2016,Mensa Neustadtswall,"Neustadtswall 33, 28199 Bremen, Germany",main_dish,3,mit Farbstoff;Vegan;Weizen,3
2644745,873393,Lammhacksteak auf Kichererbsen-Tomatenragout,True,heavily_processed,Lamm,Essen C,05.06.2014,Mensa 2,"Beethovenstraße 15, 38106 Braunschweig",main_dish,1,Lamm,1
1122276,571656,"Spaghetti mit getrockneten Tomaten(3), frischer Blattspinat, Pinienkernen und Grana Padano(2), dazu Tessiner Mischsalat",True,raw,ovo-lacto-vegetabil,Alternativ-Angebot,05.09.2013,Mensa Am Neuen Palais,"Am Neuen Palais 10, Haus 12, 14469 Potsdam",main_dish,1,ovo-lacto-vegetabil,1
1156188,2533461,"Pizza mit Salami oder Pizza Quattro formaggi mit Gorgonzola, Gouda, Hirtenkäse und Mozzarella (vegetarisch)",False,none,Menü enthält Schweinefleisch,Angebote,10.04.2017,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",main_dish,1,Menü enthält Schweinefleisch,1
1421514,5014649,Gemüse Balls mit Sojaprotein,True,heavily_processed,Kräuter-Sahnesoße;glutenhaltiges Getreide;Eier;Soja;Sellerie;Milch/ Milchzucker,Hauptkomponente,16.04.2020,"Leipzig, Mensa am Park","Universitätsstraße 5, 04109 Leipzig",main_dish,6,Milch/ Milchzucker;Soja;Sellerie;glutenhaltiges Getreide;Eier,5
550605,10047472,Nudeln mit mediterraner Tomatensauce und geröstetem Buchweizen,True,heavily_processed,Vegan,Angebot 1,11.02.2022,Mensa Griebnitzsee,"August-Bebel-Str. 89, 14482 Potsdam",main_dish,1,Vegan,1
856816,481585,Acht-Gemüsepfanne,True,gently_processed,Fleischloses Gericht;Veganes Gericht;Farbstoff;Konservierungsstoff;Antioxydationsmittel;geschwärzt;Geschmacksverstärker,WOK 1 Aktion,07.08.2013,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,7,Farbstoff;Konservierungsstoff;Geschmacksverstärker;Fleischloses Gericht;Antioxydationsmittel;geschwärzt;Veganes Gericht,7
969431,2660337,Paella mit Hühnerfleisch und Meeresfrüchten,False,none,,Aktionsstand,14.06.2017,Mensa Berliner Hochschule für Technik Luxemburger Straße,"Luxemburger Straße 9, 13353 Berlin",main_dish,0,,0
3190318,12466900,Burgunderbraten mit Semmelknödel,False,none,enthält Sulfite;Weizen;Eier;Milch und Milchprodukte;Sellerie;Rindfleisch;Alkohol,Hauptgerichte,28.10.2022,Mensa UNI Passau,"Innstraße 29, 94032 Passau, Germany",main_dish,7,Rindfleisch;Alkohol;Sellerie;Eier;Milch und Milchprodukte;enthält Sulfite;Weizen,7
3686806,2268807,Hacksteak,False,none,"Gericht enthält Gluten, Eier, Soja.",Rind Schwein,15.11.2016,Mensateria Ohm,"Wollentorstr. 4, 90489 Nürnberg, Germany",main_dish,1,,0
633852,2333790,Lasagne Bologneser Art,False,none,Menü enthält Schweinefleisch,Auflauf,08.12.2016,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,1,Menü enthält Schweinefleisch,1
4309550,15332691,"ofenfrisch...bis 16:00 Uhr..,, Flammkuchen mit Speck und Zwiebeln ""Elsässer Style""",False,none,"Lieblingsessen;Milch und Milcherzeugnisse (einschl. Laktose);Schwein;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);mit Antioxidationsmittel;mit Konservierungsstoff;mit Phosphat",CampusKlassiker,01.06.2023,"Hamburg, Mensa Berliner Tor 🆕","Berliner Tor 7, 20099 Hamburg",main_dish,7,"Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);Milch und Milcherzeugnisse (einschl. Laktose)",6
2335970,13664999,"Falafelbällchen (A, A1) in Tomatensoße, dazu Broccoliröschen und Bulgur mit Dörrobst (A, A1, L)",True,gently_processed,Menü ist vegan;mit Konservierungsstoff (2);mit Antioxydationsmittel (3);geschwefelt (5);Glutenhaltiges Getreide (A);Weizen (A1);Sulfit/Schwefeldioxid (L),Angebot 2,16.01.2023,"Dresden, Mensa WUeins","Teplitzer Straße, 01217 Dresden",main_dish,7,Menü ist vegan;Glutenhaltiges Getreide (A);Weizen (A1),3
814824,13375964,Wurstgulasch,False,none,glutenhaltiges Getreide;Weizen;Sellerie;Senf;Milch/ Milchzucker;Veganes Gericht;Konservierungsstoff;Antioxidationsmittel;Phosphat,Pastateller,04.01.2023,"Leipzig, Mensa Peterssteinweg","Straße des 17. Juni 2a, 04107 Leipzig",main_dish,9,Konservierungsstoff;Antioxidationsmittel;Phosphat;Veganes Gericht;Milch/ Milchzucker;Sellerie;Senf;glutenhaltiges Getreide;Weizen,9
1716464,466356,"Königsberger Klopse mit Kapernsoße , Salzkartoffeln und Rote Beete Salat",True,raw,Ei/-erzeugnisse;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Senf/-erzeugnisse;Süßungsmittel,Tagesgericht,06.06.2013,"Hamburg, Mensa Bucerius Law School"," Jungiusstraße 6, 20355 Hamburg",main_dish,7,Süßungsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Senf/-erzeugnisse;Glutenhaltiges;mit Schwein;Ei/-erzeugnisse,7
1276392,1991093,oder Falafel,False,none,Schwein;Geflügel;Lamm;Rind;Veganes Gericht;mit Farbstoff;mit Konservierungsstoff;mit Antioxidationsmitteln;geschwefelt;geschwärzt;glutenhaltiges Getreide;Krebstiere;Eier;Milch/ Milchzucker;Soja;Sellerie;Schalenfrüchte/ Nüsse;Sesam;Sulfit/ Schwefeldioxid;Weichtiere,WOK-Pfanne Premium,27.06.2016,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,20,geschwefelt;Rind;Schwein;Geflügel;mit Konservierungsstoff;mit Farbstoff;geschwärzt;Veganes Gericht;Lamm;Milch/ Milchzucker;Soja;Sellerie;glutenhaltiges Getreide;Eier;mit Antioxidationsmitteln;Sulfit/ Schwefeldioxid;Sesam;Schalenfrüchte/ Nüsse,18
4221920,12580648,Tagliatelle mit Auberginen und schwarzen Oliven,True,gently_processed,Sellerie;Weizen;geschwärzt;hauseigene Nudelmanufaktur;vegan,Hauptgericht,31.10.2022,"Stuttgart Mitte, Mensa Central","Stuttgart Mitte, Mensa Central Ossietzkystraße 3 70174 Stuttgart",main_dish,5,vegan;geschwärzt;Sellerie;Weizen,4
1363638,305174,"Pasta ""Martigiana"" mit Speck und Tomaten mit Penne und Parmesan",True,gently_processed,Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Antioxidationsmittel,Pasta-Bar pro 100g,17.12.2012,"Hamburg, Mensa Philosophenturm","Von-Melle-Park 6, 20146 Hamburg",main_dish,7,Antioxidationsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein,7
2641455,4897686,"Schlemmerfilet ""Bordelaise""",False,none,Fisch;Weizen,Essen B,28.02.2020,Mensa Clausthal,"Leibnizstr. 3, 38678 Clausthal-Zellerfeld, Deutschland",main_dish,2,Fisch;Weizen,2
752332,1507136,Ein gebratenes Schollenfilet Finkenwerder Art,False,none,,Essen,25.09.2015,Mensa FU Herrenhaus Düppel,"Oertzenweg 19b, 14163 Berlin",main_dish,0,,0
1534599,15050710,"Vegane Frikadelle mit Paprikagemüse, dazu Grillkartoffeln",True,gently_processed,Vegan,Abendangebot,25.04.2023,Mensa Golm,"Karl-Liebknecht-Str. 24/25, 14476 Potsdam OT Golm",main_dish,1,Vegan,1
1304659,939853,Seelachsfilet mit Broccoli - Käsefüllung,True,heavily_processed,Fisch,Auswahlessen 2,08.08.2014,"Würzburg, Mensa am Hubland","Am Hubland 16I, 97074 Würzburg",main_dish,1,Fisch,1
2442816,4347139,Frische Rahmschwammerl,True,heavily_processed,Glutenhaltiges Getreide;Weizen;Knoblauch;Milch und Laktose,Tagesgericht 3,25.07.2019,StuCafé Akademie Weihenstephan,"Alte Akademie 1, Freising",main_dish,4,Glutenhaltiges Getreide;Knoblauch;Weizen;Milch und Laktose,4
1667860,2126515,"Gemüselasagne mit Zucchini, Auberginen, Karotten, Tomaten und Paprika, dazu Basilikumsoße",True,heavily_processed,Menü ist vegetarisch,Angebote,17.08.2016,"Dresden, Mensologie","Blasewitzer Str. 84, 01307 Dresden, Deutschland",main_dish,1,Menü ist vegetarisch,1
2169719,4016196,Esterhazygulasch vom Rind,False,none,Rindfleisch;Glutenhaltiges Getreide;Gerste;Weizen;Knoblauch;Milch und Laktose;Sellerie;Geprüfte Qualität Bayern,Aktionsessen 4,11.03.2019,StuBistro Schellingstraße,"Schellingstr. 3, München",main_dish,8,Glutenhaltiges Getreide;Rindfleisch;Sellerie;Knoblauch;Weizen;Gerste;Milch und Laktose,7
530522,372930,Pfefferhacksteak  dazu Kaisergemüse  und Kräuterpasta oder Bratkartoffeln,True,gently_processed,mit Rindfleisch,Angebot 3,19.02.2013,Mensa Brandenburg,"Magdeburger Straße 50, 14770 Brandenburg an der Havel",main_dish,1,mit Rindfleisch,1
1256072,1461758,Vollkornspirelli,False,none,,Pasta-Teller,09.09.2015,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
40396,517633,Eine Bratwurstschnecke,False,none,,Essen,15.07.2013,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",main_dish,0,,0
2555268,2310688,Eine Scheibe Fleischkäse,False,none,,Aktionsstand,05.12.2016,Backshop FU Rechtswissenschaft,"Van't-Hoff-Str. 8, 14195 Berlin",main_dish,0,,0
610002,14697575,"Hausgemachte Pasta, Linsenbolognese",False,none,vegan;KlimaTeller,FRIENDS,04.04.2023,"Hannover, Mensa Große Pause","Expo Plaza 10, 30539 Hannover",main_dish,2,vegan,1
2324245,1579616,"Mediterraner Crepe , mit Gemüsefüllung , Tomaten-Basilikumsoße",True,gently_processed,Klima Teller;Ei/-erzeugnisse;Sellerie/-erzeugnisse;Milch/-erzeugnisse;vegetarisch;Glutenhaltiges,Vegetarisch,23.10.2015,"Hamburg, Mensa Berliner Tor","Berliner Tor 7, 20099 Hamburg",main_dish,6,vegetarisch;Milch/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Klima Teller;Ei/-erzeugnisse,6
3112623,2246757,Frühlingsrolle mit Hähnchenfleisch,False,none,"mit Geflügel;mit süßsaurer Soße Es können 3 Wahlbeilagen gewählt werden: Curryreis, Penne Rigate, Pariser Karotten, Wokgemüse, Beilagensalate, Götterspeise, Pfirsich-Dickmilch, Vanillepudding oder Eis",Tagesmenü,25.10.2016,Uni-Bielefeld Mensa,"Universitätsstraße 25, 33615 Bielefeld, Germany",main_dish,2,mit Geflügel,1
1010000,3195662,Schlesischer Hefering mit Vanillesauce,False,none,gelb (Ampel);vegetarisch;Milch und Milchprodukte (inkl. Laktose);Hefe;Weizen,Aktionen,25.04.2018,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",main_dish,5,vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen;Hefe;gelb (Ampel),5
161577,1562913,Auf der Haut gebratenes Lachsforellenfilet,False,none,,Essen,14.10.2015,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",main_dish,0,,0
1416110,4326590,Gelbes Thaicurry mit buntem Gemüse & Sojaschnetzel,True,heavily_processed,oder Hähnchenfleisch;mit Konservierungsstoff;glutenhaltiges Getreide;Soja;Sellerie;Veganes Gericht,WOK,21.06.2019,"Leipzig, Mensa am Park","Universitätsstraße 5, 04109 Leipzig",main_dish,6,mit Konservierungsstoff;Veganes Gericht;Soja;Sellerie;glutenhaltiges Getreide,5
2658917,1113483,Schupfnudel-Gemüsepfanne,True,heavily_processed,Fleischlos,Vegetarisch,16.12.2014,"Würzburg, Mensa Augenklinik","Röntgenring 12, 97070 Würzburg",main_dish,1,Fleischlos,1
859135,500646,Grünes WOK-Gemüse mit Schweinefleisch oder Tofu,True,heavily_processed,Schwein;Geflügel;Lamm;Rind;Veganes Gericht;Fisch;Farbstoff;Konservierungsstoff;Antioxydationsmittel;Geschmacksverstärker;geschwärzt;mit Phosphat,WOK 2 Aktion,22.08.2013,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,12,Farbstoff;Konservierungsstoff;Geschmacksverstärker;Rind;Schwein;Fisch;Geflügel;mit Phosphat;Antioxydationsmittel;geschwärzt;Veganes Gericht;Lamm,12
3702487,2710213,gebratener Reis mit Hühnerfleisch und Asiagemüse ,True,unknown,mit Weizen;mit Soja,Geflügel,06.07.2017,Mensa Insel Schütt,"Hintere Insel Schütt 5, 90403 Nürnberg, Germany",main_dish,2,mit Weizen;mit Soja,2
29594,3648985,Hausgemachtes Schnitzel vom Schweinerücken nach Wiener Art Pommes frites und Salat,True,raw,gelb (Ampel);Schweinefleisch bzw. mit Gelatine vom Schwein;Weizen;Eier;Sellerie;Hefe;Senf,Aktionen,12.10.2018,Mensa HTW Wilhelminenhof,"Wilhelminenhofstraße 75 A, Gebäude G, 12459 Berlin",main_dish,7,Sellerie;Senf;Eier;Weizen;Hefe;gelb (Ampel),6
896257,2744223,Paprikarahmgulasch vom Schwein,True,heavily_processed,Schwein,Auswahlessen 2,27.07.2017,"Würzburg, Mensa am Studentenhaus","Am Studentenhaus 1, 97070 Würzburg",main_dish,1,Schwein,1
3525814,4891219,"Hähnchenbrust, natur, Andalusische Sauce",False,none,geschwärzt,Essen I,05.02.2020,"Essenausgabe Süd, Düsseldorf","Universitätsstraße 1, 40225 Düsseldorf",main_dish,1,geschwärzt,1
1249565,1611341,Schweinerückensteak mit Mischpilzen überbacken,True,heavily_processed,,Hauptkomponenten,29.11.2015,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
1268375,1695792,Hamburger Schnitzel (mit Setzei),False,none,,Hauptkomponenten,24.01.2016,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
2135260,4385727,Grillgemüse im Fladenbrot mit veganem Kräuter-Dip,True,unknown,vegan,Angebote,10.07.2019,"Dresden, BioMensa U-Boot","George-Bähr-Straße/Hettnerstraße 3, 01069 Dresden",main_dish,1,vegan,1
63719,4133190,Eine vegetarische Frühlingsrolle an Koriander-Chili-Dip,True,heavily_processed,rot (Ampel);vegetarisch;Antioxidationsmittel;Süßungsmittel;Weizen;Eier;Sellerie;Soja;Sesam,Essen,29.04.2019,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",main_dish,9,Antioxidationsmittel;Süßungsmittel;vegetarisch;Soja;Sellerie;Eier;Sesam;Weizen;rot (Ampel),9
723099,1119258,Schupfnudeln mit Rahmsauerkraut,True,heavily_processed,,Essen,15.12.2014,Mensa HTW Treskowallee,"Treskowallee 8, 10318 Berlin",main_dish,0,,0
974294,3703178,"Geflügelragout süß-sauer mit Bambussprossen, roter Paprika und Ananas",True,gently_processed,gelb (Ampel);konserviert;Soja;Schwefeldioxid und Sulfide,Essen,05.11.2018,Mensa Berliner Hochschule für Technik Luxemburger Straße,"Luxemburger Straße 9, 13353 Berlin",main_dish,4,Soja;Schwefeldioxid und Sulfide;konserviert;gelb (Ampel),4
3369205,2329220,Putenbrustgeschnetzeltes mit Karotten-Orangensoße,True,heavily_processed,Gericht enthält undefinierte Chemikalien:G.,Geflügel,14.12.2016,Mensa Ansbach,"Residenzstraße 8, 91522 Ansbach, Germany",main_dish,1,,0
99511,2092503,"2 Stück Hähnchenschnitzel ""Wiener Art""",False,none,Gefluegel,Auswahlessen 1,04.08.2016,"Bamberg, Mensa Austraße","Austraße 37, 96047 Bamberg",main_dish,1,Gefluegel,1
3153612,2775765,Hähnchen- Filet- Spieß mit Reis,False,none,mit Antioxidationsmittel;Milch und Milchprodukte;Sellerie;Geflügel,Hauptgerichte,21.08.2017,Mensa OTH Regensburg,"Seybothstraße, 93006 Regensburg, Germany",main_dish,4,Geflügel;mit Antioxidationsmittel;Sellerie;Milch und Milchprodukte,4
732482,2579285,Fünf Cevapcici vom Rind,False,none,,Essen,05.05.2017,Mensa HTW Treskowallee,"Treskowallee 8, 10318 Berlin",main_dish,0,,0
3489510,3507183,"Seelachs im Backteig, Zitronen-Butter-Soße , Erbsen, Kartoffel-Kräuter-Püree",True,gently_processed,Fisch;Senf;mit Antioxidationsmittel;Milch,Essen 3,12.07.2018,"Chemnitz, Reichenhainer Straße, Mensa","Reichenhainer Straße 55, 09126 Chemnitz",main_dish,4,Fisch;mit Antioxidationsmittel;Senf;Milch,4
3136272,13480483,Bohnen-Kartoffelcurry,True,unknown,mit Naan Brot;Vegan,Essen 3,02.01.2023,Mensa Casino,"Grüneburgplatz 1, 60323 Frankfurt am Main, Germany",main_dish,2,Vegan,1
3362164,2001108,Pizza Champignons-Lachs,True,heavily_processed,,Essen 7,03.06.2016,mensa accent,"Kurt-Schumacher-Ring 18, 65197 Wiesbaden, Germany",main_dish,0,,0
1251737,1870185,Braumeistersteak (mit Schinken und Käse gefüllt),False,none,,Hauptkomponenten,17.04.2016,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
2631509,1129022,Fleischspieß mit Paprikasoße,True,heavily_processed,Schweinefleisch,Essen B,05.01.2015,Mensa Clausthal,"Leibnizstr. 3, 38678 Clausthal-Zellerfeld, Deutschland",main_dish,1,Schweinefleisch,1
649757,749331,"Schweineschnitzel oder Möhrenschnitzel, dazu Champignon-Lauchgemüse  oder Erbsen-Mais-Gemüse mit Kartoffelkroketten",True,gently_processed,Menü enthält Schweinefleisch,Abendangebot,03.03.2014,"Dresden, Mensa Siedepunkt","Zellescher Weg 17, 01069 Dresden, Deutschland",main_dish,1,Menü enthält Schweinefleisch,1
2462386,2279185,Reis mit asiatischem Gemüse und Koriander,True,gently_processed,veganes Gericht;vegan;mit Konservierungsstoff,Tagesgericht 1,22.11.2016,Mensa Arcisstraße,"Arcisstr. 17, München",main_dish,3,vegan;mit Konservierungsstoff;veganes Gericht,3
1232361,1060468,Geflügelleber in Rotweinsoße,False,none,,Hauptkomponenten,23.12.2014,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
3982650,4514137,"Penne mit Brokkoli in Rahm ,dazu Salat und Dessert",True,heavily_processed,Ohne Fleisch;Kinderteller;Gluten aus Weizen & Erzeugnisse;mit Farbstoff;Soja & Erzeugnisse;Milch & Erzeugnisse;Senf & Erzeugnisse,Tagesgericht,09.09.2019,Mensa der FernUni Hagen,"Universitätsstrasse 31, 58097 Hagen, Germany",main_dish,7,mit Farbstoff;Gluten aus Weizen & Erzeugnisse;Milch & Erzeugnisse;Soja & Erzeugnisse;Ohne Fleisch;Senf & Erzeugnisse,6
788073,902724,Currywurst mit Pommes frites,False,none,Schwein;mit Konservierungsstoff;mit Antioxidationsmittel;mit Geschmacksverstärker;mit Phosphat;mit Farbstoff,Hauptgerichte,03.07.2014,Mensa Wernigerode,"Friedrichstraße 57 – 59,  38855 Wernigerode",main_dish,6,Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;mit Geschmacksverstärker;mit Farbstoff,6
3529933,3516213,"Kibbelinge im Backteig, Tatarensauce",False,none,Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;Fisch und Fischerzeugnisse;Senf und Senferzeugnisse;mit Süßungsmittel;Weizen;Mit Konservierungsmittel;Eier und Eierzeugnisse,Essen I,20.07.2018,"Mensa Rheydter Straße, Mönchengladbach","Rheydter Str. 325, 41065 Mönchengladbach",main_dish,8,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Süßungsmittel;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Milch und Milcherzeugnisse / enthält Laktose,7
1043615,4434333,"Sonnenweizen mit frischer Zucchini, Paprika, und Karotten",True,gently_processed,grün (Ampel);vegan;Klimaessen;Weizen,Essen,20.08.2019,Mensa HfM Charlottenstraße,"Charlottenstraße 55, 10117 Berlin",main_dish,4,vegan;Weizen;Klimaessen;grün (Ampel),4
1180766,906620,Schwäbische Spätzle mit Champignonsauce(2)(3),True,heavily_processed,ovo-lacto-vegetabil,Angebot 1,21.07.2014,Mensa Kiepenheuerallee,"Kiepenheuerallee 5, 14469 Potsdam",main_dish,1,ovo-lacto-vegetabil,1
3738604,4726826,"Köttbullar (Fleischbällchen) mit Rahmsauce und Spirelli-Nudeln, Salatbeilage",True,raw,"Schwein;Rind;Enthält Allergene: Weizen, Milch",Tagesgericht 1,04.12.2019,Bistro Frieden,"Scharnhorststraße 100, 48151 Münster, Germany",main_dish,3,Rind;Schwein,2
