,meal_id,meal_name,meal_created_at,meal_updated_at,meal_category,day_id,meal_price_student,meal_price_employee,meal_price_pupil,meal_price_other,canteen_id,date,days_created_at,days_updated_at,date_correct,canteen_name,canteen_address,canteen_created_at,canteen_updated_at,canteen_last_fetched_at,canteen_longitude,canteen_latitude,canteen_city,canteen_state,geometry,meal_super_category,notes_list,notes_count,notes_list_90,notes_count_90
367122,2212440,Ananasquark,2016-10-08 06:00:38.376434,2016-10-20 06:00:23.228503,Desserts,196774,0.6,1.0,,1.3,28,2016-10-20,2016-10-08 06:00:38.345763,2016-10-08 06:00:38.345763,2016-10-20,Mensa FU Veggie Nº 1,"Van't-Hoff-Straße 6, 14195 Berlin",2012-08-19 00:20:11.107928,2021-11-10 16:42:22.331340,2018-10-04 15:23:25.401216,13.283125162124634,52.44704510882786,Berlin,archived,POINT (13.28312516212463 52.44704510882786),dessert,,0,,0
2970520,1781348,"Käsespätzle ""Schwäbische Art"" mit geschmelzten Zwiebeln",2016-02-09 13:02:53.731129,2016-02-09 13:02:53.731129,Mensa,157246,2.5,,,,177,2016-02-09,2016-02-01 07:10:25.596649,2016-02-01 07:10:25.596649,2016-02-09,"Darmstadt, Bistro Haardtring","Haardtring 100, 64295 Darmstadt, Germany",2013-08-27 23:44:08.137908,2021-02-21 19:19:46.373102,2020-06-15 11:07:21.658455,8.632475137710571,49.86590179654288,Darmstadt,archived,POINT (8.632475137710571 49.86590179654288),mix,Glutenhaltiges Getreide;Eier und Eierzeugnisse;Milch und Milcherzeugnisse,3,Milch und Milcherzeugnisse;Glutenhaltiges Getreide;Eier und Eierzeugnisse,3
55230,2142101,"Eine Riesencurrywurst,",2016-08-27 06:07:22.397933,2016-08-27 06:07:22.397933,Aktionsstand,190479,3.95,3.95,,3.95,52,2016-09-08,2016-08-27 06:07:22.389236,2016-08-27 06:07:22.389236,2016-09-08,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",2012-08-19 00:56:40.758462,2021-11-13 19:12:53.341841,2022-03-20 07:12:15.552672,13.3558306,52.4275018,Berlin,active,POINT (13.3558306 52.4275018),main_dish,,0,,0
4313106,15200238,"NEUes Gericht für dich gekocht..., Schnitzel vom Feld (Gemüsebasis) , Champignons in Rotweinsoße , gebratene Drillinge",2023-05-10 11:08:39.856991,2023-05-10 11:08:39.856991,CampusSpezial,1020435,5.9,7.2,,8.4,1738,2023-05-10,2023-04-30 07:15:06.845665,2023-04-30 07:15:06.845665,2023-05-10,"Hamburg, Mensa Studierendenhaus 🆕","Von-Melle-Park 2, 20146 Hamburg",2022-11-20 21:29:06.096916,2022-11-20 21:30:07.050601,2023-08-05 09:15:06.687634,9.98534801455867,53.56584055,Hamburg,active,POINT (9.985348014558671 53.56584055),unmatched,"Alkohol;Klimateller;Neu;Schwefeldioxid und Sulfite (Konzentration über 10mg/kg oder 10mg/l);Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Soja und Sojaerzeugnisse;Vegan;enthält keine laktosehaltigen Lebensmittel;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.)",10,"Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Vegan;Alkohol;enthält keine laktosehaltigen Lebensmittel;Klimateller;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.)",8
4013845,4172373,Petersilienkartoffeln,2019-04-24 08:30:35.175250,2019-04-24 08:30:35.175250,Beilage,424658,0.8,1.15,,,394,2019-04-26,2019-04-24 08:30:35.028098,2019-04-24 08:30:35.028098,2019-04-26,"Stuttgart Nord, Mensa Kunstakademie","Stuttgart Nord, Mensa Kunstakademie Am Weißenhof 1 70191 Stuttgart",2017-08-22 21:22:35.506277,2017-08-22 21:23:47.781966,2023-08-05 09:20:00.944831,9.1748127,48.8005536,Stuttgart,active,POINT (9.1748127 48.8005536),side_dish,,0,,0
2366366,3581711,"Früchte-Joghurtbecher To Go 0,2l",2018-08-17 11:10:11.299029,2018-08-18 06:17:50.692769,Aktionen,345684,1.45,1.45,,1.45,22,2018-09-01,2018-08-13 06:19:35.159658,2018-08-17 11:10:11.235528,2018-09-01,Mensa Charité Zahnklinik,"Aßmannshauser Str. 2-6, 14197 Berlin",2012-08-19 00:13:41.269517,2021-11-13 19:12:56.537583,2022-03-20 07:07:13.488330,13.31223,52.478,Berlin,active,POINT (13.31223 52.478),main_dish,grün (Ampel);vegetarisch;Antioxidationsmittel;Weizen;Gerste;Hafer;Mandeln;Haselnuss;Milch und Milchprodukte (inkl. Laktose),9,Antioxidationsmittel;vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen;Mandeln;Hafer;Gerste;grün (Ampel),8
1261257,1529469,Kidneybohnen-Mais-Gemüse,2015-09-26 12:36:06.608839,2015-10-08 10:27:11.765637,Gemüsebeilagen,137823,0.7,1.1,,1.45,65,2015-10-18,2015-09-26 12:36:05.622441,2015-09-26 12:36:05.622441,2015-10-18,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",2012-08-19 02:01:33.420993,2015-07-04 00:47:07.999169,2023-08-05 14:00:45.584581,12.354791164398192,51.33860169398093,Leipzig,active,POINT (12.35479116439819 51.33860169398093),side_dish,,0,,0
2740610,2168439,Rindergulasch nach Art des Hauses,2016-09-10 06:31:58.312274,2016-09-10 06:31:58.312274,Essen 1,192367,2.2,3.7,,4.3,165,2016-09-14,2016-09-07 06:07:29.156239,2016-09-07 06:07:29.156239,2016-09-14,Mensa Suderburg,"Herbert-Meyer-Str. 7, 29556 Suderburg, Deutschland",2013-06-10 12:12:33.257224,2019-09-23 21:27:43.731429,2021-11-11 07:16:23.770362,10.4470473,52.8986961,Suderburg,active,POINT (10.4470473 52.8986961),main_dish,"Glutenhaltiges Getreide
GL1     Weizen
GL2     Roggen
GL3     Gerste
GL4     Hafer
GL5     Dinkel
GL6     Kamut;mit Farbstoff;Rind",3,Rind;mit Farbstoff,2
1156303,2323043,"Veganer Weihnachtsbraten mit Feigen-Walnussfüllung, dazu Pilzsoße und Schwenkkartoffeln",2016-12-01 13:40:14.630297,2016-12-01 13:40:14.630297,Angebote,206542,3.59,5.28,,,78,2016-12-13,2016-12-01 13:40:14.610602,2016-12-01 13:40:14.610602,2016-12-13,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",2012-08-19 14:15:55.404600,2021-03-01 07:05:08.624070,2023-08-05 14:00:37.897562,13.7286415224337,51.03155355,Dresden,active,POINT (13.7286415224337 51.03155355),main_dish,Menü ist vegan,1,Menü ist vegan,1
977681,4706606,Chili con carne - Mexikanischer Bohneneintopf mit Rindfleisch,2019-11-16 07:21:57.915296,2019-11-16 07:21:57.915296,Essen,491871,1.45,2.9,,3.2,49,2019-12-04,2019-11-16 07:21:57.742569,2019-11-16 07:21:57.742569,2019-12-04,Mensa Berliner Hochschule für Technik Luxemburger Straße,"Luxemburger Straße 9, 13353 Berlin",2012-08-19 00:55:24.034267,2021-11-13 17:49:53.905429,2022-03-20 07:12:28.172748,13.3545556,52.544558,Berlin,active,POINT (13.3545556 52.544558),main_dish,grün (Ampel);mit zum Teil fein zerkleinertem Fleischanteil,2,grün (Ampel),1
3438388,2973846,"mediterranes Nudelgratin mit Kirschtomaten, Zucchinistreifen und schwarzen Oliven",2017-12-08 07:09:13.109459,2017-12-09 07:10:51.590836,Essen 3,275991,1.9,3.5,,4.35,306,2017-12-14,2017-12-08 07:09:13.079545,2017-12-08 07:09:13.079545,2017-12-14,"Zwickau, Scheffelberg, Mensa","Scheffelstraße 39, 08066 Zwickau",2016-07-10 22:27:11.208685,2016-07-10 22:30:39.344199,2023-07-25 08:03:42.059209,12.5051553,50.7334417,Zwickau,active,POINT (12.5051553 50.7334417),main_dish,vegetarisch;mit Geschmacksverstärker;geschwärzt;Milch,4,vegetarisch;mit Geschmacksverstärker;geschwärzt;Milch,4
2370691,413418,Nudeln,2013-04-05 06:16:01.795711,2013-04-05 06:16:01.795711,Beilagen,26382,,,,,134,2013-04-15,2013-04-05 06:16:01.596641,2013-04-05 06:16:01.596641,2013-04-15,Mensa Martinsried,"Großhaderner Straße 6, Planegg-Martinsried ",2012-08-26 02:54:56.894180,2019-11-13 20:35:18.008100,2022-02-24 13:03:28.690130,11.4532863,48.1090332,München,active,POINT (11.4532863 48.1090332),side_dish,veganes Gericht,1,veganes Gericht,1
2699460,2169261,Raviolini in Spinat-Sahnesauce,2016-09-11 06:20:33.324869,2016-09-11 06:20:33.324869,Essen 3,192686,2.2,3.9,,4.5,166,2016-09-19,2016-09-11 06:20:33.294733,2016-09-11 06:20:33.294733,2016-09-19,Mensa Ostfalia,"Salzdahlumer Str. 46/48, 38302 Wolfenbüttel, Deutschland",2013-06-10 12:14:19.722088,2019-09-23 21:34:10.831431,2021-11-14 07:05:57.704470,10.549267530441284,52.17599765019241,Wolfenbüttel,active,POINT (10.54926753044128 52.17599765019241),main_dish,"Eier und Eiererzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Glutenhaltiges Getreide
GL1     Weizen
GL2     Roggen
GL3     Gerste
GL4     Hafer
GL5     Dinkel
GL6     Kamut;vegetarisch",4,Eier und Eiererzeugnisse;vegetarisch;Milch und Milcherzeugnisse (einschließlich Laktose),3
4009619,3781754,Auberginencurry mit Kichererbsen-Reis,2018-11-12 08:30:18.517898,2018-11-21 08:30:33.072527,Hauptgericht,374004,2.7,4.7,,,394,2018-11-21,2018-11-12 08:30:18.418361,2018-11-12 08:30:18.418361,2018-11-21,"Stuttgart Nord, Mensa Kunstakademie","Stuttgart Nord, Mensa Kunstakademie Am Weißenhof 1 70191 Stuttgart",2017-08-22 21:22:35.506277,2017-08-22 21:23:47.781966,2023-08-05 09:20:00.944831,9.1748127,48.8005536,Stuttgart,active,POINT (9.1748127 48.8005536),main_dish,,0,,0
2735772,4821708,"Putengeschnetzeltes Züricher Art , Fusilli , Rosenkohl",2020-01-07 07:12:20.564883,2020-01-14 09:02:13.148694,Beliebt und gerne gegessen,507774,3.25,4.55,,6.5,186,2020-01-14,2020-01-07 07:12:20.541059,2020-01-07 07:12:20.541059,2020-01-14,"Hamburg, Mensa HCU","Überseeallee 16, 20457 Hamburg",2014-04-09 13:10:21.405914,2015-07-04 00:46:57.577022,2021-09-16 06:05:38.908539,10.0047980912567,53.54019895,Hamburg,active,POINT (10.0047980912567 53.54019895),main_dish,Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges,3,Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges,3
2396233,8551388,Röstkartoffeln,2021-11-03 07:10:49.393137,2021-11-03 07:10:49.393137,Beilagen,709167,,,,,134,2021-11-26,2021-11-03 07:10:49.318550,2021-11-03 07:10:49.318550,2021-11-26,Mensa Martinsried,"Großhaderner Straße 6, Planegg-Martinsried ",2012-08-26 02:54:56.894180,2019-11-13 20:35:18.008100,2022-02-24 13:03:28.690130,11.4532863,48.1090332,München,active,POINT (11.4532863 48.1090332),side_dish,vegan,1,vegan,1
2063966,1999034,Zwei Gemüsefrikadellen,2016-06-01 06:01:54.080391,2016-06-07 06:03:20.460542,Tagesangebot,175547,3.95,3.95,,4.45,41,2016-06-07,2016-05-28 06:00:34.939156,2016-05-28 06:00:34.939156,2016-06-07,Mensa FU Koserstraße,"Koserstraße 20, 14195 Berlin",2012-08-19 00:52:41.671023,2021-12-02 05:15:17.814941,2021-12-01 07:07:16.704005,13.2945561,52.4612333,Berlin,archived,POINT (13.2945561 52.4612333),mix,,0,,0
3110898,1863775,Gebratene Asianudeln mit Hähnchen,2016-04-04 09:12:38.245601,2016-04-04 09:12:38.245601,Aktions-Theke,166446,,,,3.0,203,2016-04-05,2016-04-04 09:12:38.172819,2016-04-04 09:12:38.172819,2016-04-05,Uni-Bielefeld Mensa,"Universitätsstraße 25, 33615 Bielefeld, Germany",2015-01-24 15:21:15.484550,2015-07-04 00:47:05.987423,2023-07-25 08:14:02.250069,8.49268913269043,52.040336075514254,Bielefeld,active,POINT (8.49268913269043 52.04033607551425),mix,mit Geflügel,1,mit Geflügel,1
4112634,4013106,"Karottensticks mit Sesam mit Gemüsechutney , dazu 3 Beilagen nach Wahl",2019-02-25 07:22:43.063107,2019-02-28 12:07:50.760889,Vegetarisches Menü,404799,2.5,4.0,,4.5,855,2019-02-28,2019-02-25 07:22:43.016613,2019-02-25 07:22:43.016613,2019-02-28,Mensa Sonnenstraße,"Sonnenstrasse 96, 44139 Dortmund, Germany",2019-02-13 18:35:19.621046,2019-02-18 07:22:18.470384,2021-11-24 09:05:04.061745,7.45693408344336,51.50606285,Dortmund / Nordrhein-Westfalen,active,POINT (7.45693408344336 51.50606285),main_dish,Vegane Speise;Kinderteller;Sellerie & Erzeugnisse;Sesamsamen & Erzeugnisse;Gluten aus Weizen & Erzeugnisse;mit Alkohol;Soja & Erzeugnisse,7,mit Alkohol;Gluten aus Weizen & Erzeugnisse;Soja & Erzeugnisse;Sellerie & Erzeugnisse;Vegane Speise,5
805179,2308117,Penne,2016-11-24 07:01:52.061268,2016-12-14 10:00:40.134229,Pastateller,205282,1.9,3.7,,5.2,68,2016-12-14,2016-11-24 07:01:51.917093,2016-11-24 07:01:51.917093,2016-12-14,"Leipzig, Mensa Peterssteinweg","Straße des 17. Juni 2a, 04107 Leipzig",2012-08-19 02:06:37.697237,2015-07-04 00:46:58.463093,2023-08-05 08:01:17.314704,12.373255491256714,51.33307851507541,Leipzig,active,POINT (12.37325549125671 51.33307851507541),main_dish,mit Farbstoff;mit Konservierungsstoff;Sulfit/ Schwefeldioxid;glutenhaltiges Getreide;Milch/ Milchzucker;Sellerie;Schwein,7,Schwein;mit Konservierungsstoff;mit Farbstoff;Milch/ Milchzucker;Sellerie;glutenhaltiges Getreide;Sulfit/ Schwefeldioxid,7
1146199,285806,Ungarische Gulaschsuppe,2012-11-12 07:08:05.025512,2012-11-12 07:08:05.025512,OMeGa-Suppenbar,12157,,,,,78,2012-11-26,2012-11-12 07:08:04.870127,2012-11-12 07:08:04.870127,2012-11-26,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",2012-08-19 14:15:55.404600,2021-03-01 07:05:08.624070,2023-08-05 14:00:37.897562,13.7286415224337,51.03155355,Dresden,active,POINT (13.7286415224337 51.03155355),unmatched,Menü enthält Rindfleisch,1,Menü enthält Rindfleisch,1
3093250,2588157,Maissuppe,2017-04-28 06:11:05.607311,2017-04-28 06:11:05.607311,Essen 1,232840,0.9,2.5,,2.5,213,2017-05-04,2017-04-28 06:11:05.604097,2017-04-28 06:11:05.604097,2017-05-04,Mensa essWERK,"Kleiststraße 7,  60318 Frankfurt am Main, Germany",2015-01-28 22:34:17.075770,2015-07-04 00:47:05.994130,2023-07-21 08:05:09.859745,8.691548109054565,50.130386620172224,Frankfurt am Main,active,POINT (8.691548109054565 50.13038662017222),main_dish,,0,,0
809398,3601826,Scharfes Kürbisgemüse mit Linsen & Rucola auf Penne Rigate,2018-08-28 06:10:04.549017,2018-08-28 06:10:04.549017,mensaVital,350014,1.5,3.5,,5.0,68,2018-09-17,2018-08-28 06:10:04.537259,2018-08-28 06:10:04.537259,2018-09-17,"Leipzig, Mensa Peterssteinweg","Straße des 17. Juni 2a, 04107 Leipzig",2012-08-19 02:06:37.697237,2015-07-04 00:46:58.463093,2023-08-05 08:01:17.314704,12.373255491256714,51.33307851507541,Leipzig,active,POINT (12.37325549125671 51.33307851507541),main_dish,glutenhaltiges Getreide;Veganes Gericht,2,Veganes Gericht;glutenhaltiges Getreide,2
4142091,11692634,"Putenpfanne ""Sweet Chili"" mit Kräuterreis oder Pommes frites",2022-07-11 08:12:15.770568,2022-07-11 08:12:15.770568,Fleisch,850245,3.1,5.1,,6.5,846,2022-07-16,2022-07-11 08:12:15.733936,2022-07-11 08:12:15.733936,2022-07-16,Cafeteria Mensa Ehrenberg,"Max-Planck-Ring 1, 98693 Ilmenau, Germany",2019-02-09 15:42:27.701775,2019-02-09 16:10:08.091161,2023-07-29 14:00:54.357770,10.9337807664547,50.68242215,Ilmenau,active,POINT (10.9337807664547 50.68242215),main_dish,"ohne deklarationspflichtige Zusatzstoffe;Geflügel, Knoblauch",2,ohne deklarationspflichtige Zusatzstoffe,1
2624039,1165468,Eierspätzle,2015-01-18 07:09:53.707441,2015-01-18 07:09:53.707441,Fleischgericht,101728,1.95,3.8,,5.5,71,2015-02-18,2015-01-18 07:09:53.637409,2015-01-18 07:09:53.637409,2015-02-18,"Leipzig, Cafeteria Koburger Straße","Koburger Straße 62, 04416 Markkleeberg",2012-08-19 02:12:54.706545,2016-10-19 16:57:20.405563,2015-02-20 13:02:04.549741,12.3624,51.28243,Markkleeberg,archived,POINT (12.3624 51.28243),main_dish,Schwein;Rind;Milch/ Milchzucker;glutenhaltiges Getreide;Eier,5,Rind;Schwein;Milch/ Milchzucker;glutenhaltiges Getreide;Eier,5
2033776,304827,"Hähnchenbrust ""Hawaii"" mit Curryhollandaise",2012-12-10 07:05:32.223806,2012-12-10 07:05:32.223806,Theke 3 - Empfehlung des Tages,14682,3.9,,,5.4,100,2012-12-19,2012-12-10 07:05:32.187627,2012-12-10 07:05:32.187627,2012-12-19,Mensa Jülich,"Heinrich-Mußmann-Str. 1, 52428 Jülich",2012-08-21 00:12:47.045484,2019-02-05 21:14:49.205245,2023-08-05 14:00:42.629975,6.373368501663208,50.93570779114204,Jülich,active,POINT (6.373368501663208 50.93570779114204),unmatched,enthält Milcheiweiß;mit Geflügelanteil,2,enthält Milcheiweiß,1
3558000,2604063,Berliner mit Zucker,2017-05-06 06:04:55.518409,2017-05-10 09:01:13.678273,Kuchen und Gebäck,233821,1.1,1.1,,1.1,15,2017-05-10,2017-05-02 06:04:53.190915,2017-05-02 06:04:53.190915,2017-05-10,"Hannover, Cafeteria Herrenhausen","Herrenhäuser Straße 8, 30419 Hannover",2012-08-18 23:06:45.526554,2015-07-04 00:47:04.854175,2023-08-05 08:00:43.080521,9.69597,52.39288999999999,Hannover,active,POINT (9.695970000000001 52.39288999999999),dessert,ohne Fleisch;Glutenhaltiges Getreide;Eier und Eiererzeugnisse;Soja und Sojaerzeugnisse;Milch und Milcherzeugnisse,5,ohne Fleisch;Soja und Sojaerzeugnisse;Milch und Milcherzeugnisse;Glutenhaltiges Getreide;Eier und Eiererzeugnisse,5
63530,4076586,Rote Bete Suppe mit frischem Meerrettich,2019-03-21 07:16:25.104142,2019-03-21 07:16:25.104142,Suppen,412725,0.6,1.2,,1.3,52,2019-04-10,2019-03-21 07:16:25.054233,2019-03-21 07:16:25.054233,2019-04-10,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",2012-08-19 00:56:40.758462,2021-11-13 19:12:53.341841,2022-03-20 07:12:15.552672,13.3558306,52.4275018,Berlin,active,POINT (13.3558306 52.4275018),soup,gelb (Ampel);vegan;Antioxidationsmittel;Süßungsmittel;Soja,5,vegan;Antioxidationsmittel;Süßungsmittel;Soja;gelb (Ampel),5
3246555,4521726,Gyros,2019-09-13 06:13:44.959609,2019-09-13 06:13:44.959609,Essen 4,469954,3.9,5.5,,5.5,211,2019-09-19,2019-09-13 06:13:44.892688,2019-09-13 06:13:44.892688,2019-09-19,Cafeteria Bockenheim,Bockenheimer Landstraße 133 60325 Frankfurt am Main ,2015-01-28 22:29:00.802866,2015-07-04 00:47:07.491658,2023-07-25 08:03:37.331422,8.6519106,50.1195207,Frankfurt am Main,active,POINT (8.651910600000001 50.1195207),main_dish,mit Tzatziki (G) und einer Beilage nach Wahl;Schwein,2,Schwein,1
3761204,3947875,"Ofenkartoffel, Kräuterquark-Dip",2019-01-30 07:06:49.185671,2019-01-30 07:06:49.185671,Essen II,396163,1.3,3.5,,3.5,350,2019-02-05,2019-01-30 07:06:49.159013,2019-01-30 07:06:49.159013,2019-02-05,"Musikhochschule, Düsseldorf","Fischerstraße 110, 40476 Düsseldorf",2017-01-06 15:07:11.202027,2017-01-06 15:15:17.354954,2023-08-05 14:01:34.918969,6.77223222984645,51.24245785,Düsseldorf,active,POINT (6.77223222984645 51.24245785),main_dish,mit Milcheiweiß;vegan;Milch und Milcherzeugnisse / enthält Laktose,3,vegan;mit Milcheiweiß;Milch und Milcherzeugnisse / enthält Laktose,3
360842,1364180,Vollkornspaghetti mit Tomaten - Nuss - Sauce,2015-05-30 06:00:14.253926,2015-06-11 06:00:12.322165,Essen,120146,1.75,2.8,,3.7,28,2015-06-11,2015-05-30 06:00:14.242334,2015-05-30 06:00:14.242334,2015-06-11,Mensa FU Veggie Nº 1,"Van't-Hoff-Straße 6, 14195 Berlin",2012-08-19 00:20:11.107928,2021-11-10 16:42:22.331340,2018-10-04 15:23:25.401216,13.283125162124634,52.44704510882786,Berlin,archived,POINT (13.28312516212463 52.44704510882786),main_dish,,0,,0
