,meal_id,meal_name,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
1159210,2938823,Hausgemachte Pasta mit Tomatenpesto,Menü ist vegan;Menü enthält Knoblauch,Pasta,2017-12-08,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",main_dish,2,Menü enthält Knoblauch;Menü ist vegan,2
2902275,2019729,Tomatensauce,Vegan;mit Farbstoff;Weizen,Pasta Buffetpro 100g,2016-06-16,Mensa Neustadtswall,"Neustadtswall 33, 28199 Bremen, Germany",main_dish,3,mit Farbstoff;Vegan;Weizen,3
2644745,873393,Lammhacksteak auf Kichererbsen-Tomatenragout,Lamm,Essen C,2014-06-05,Mensa 2,"Beethovenstraße 15, 38106 Braunschweig",main_dish,1,Lamm,1
1122276,571656,"Spaghetti mit getrockneten Tomaten(3), frischer Blattspinat, Pinienkernen und Grana Padano(2), dazu Tessiner Mischsalat",ovo-lacto-vegetabil,Alternativ-Angebot,2013-09-05,Mensa Am Neuen Palais,"Am Neuen Palais 10, Haus 12, 14469 Potsdam",main_dish,1,ovo-lacto-vegetabil,1
1156188,2533461,"Pizza mit Salami oder Pizza Quattro formaggi mit Gorgonzola, Gouda, Hirtenkäse und Mozzarella (vegetarisch)",Menü enthält Schweinefleisch,Angebote,2017-04-10,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",main_dish,1,Menü enthält Schweinefleisch,1
1421514,5014649,Gemüse Balls mit Sojaprotein,Kräuter-Sahnesoße;glutenhaltiges Getreide;Eier;Soja;Sellerie;Milch/ Milchzucker,Hauptkomponente,2020-04-16,"Leipzig, Mensa am Park","Universitätsstraße 5, 04109 Leipzig",main_dish,6,Milch/ Milchzucker;Soja;Sellerie;glutenhaltiges Getreide;Eier,5
550605,10047472,Nudeln mit mediterraner Tomatensauce und geröstetem Buchweizen,Vegan,Angebot 1,2022-02-11,Mensa Griebnitzsee,"August-Bebel-Str. 89, 14482 Potsdam",main_dish,1,Vegan,1
856816,481585,Acht-Gemüsepfanne,Fleischloses Gericht;Veganes Gericht;Farbstoff;Konservierungsstoff;Antioxydationsmittel;geschwärzt;Geschmacksverstärker,WOK 1 Aktion,2013-08-07,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,7,Farbstoff;Konservierungsstoff;Geschmacksverstärker;Fleischloses Gericht;Antioxydationsmittel;geschwärzt;Veganes Gericht,7
969431,2660337,Paella mit Hühnerfleisch und Meeresfrüchten,,Aktionsstand,2017-06-14,Mensa Berliner Hochschule für Technik Luxemburger Straße,"Luxemburger Straße 9, 13353 Berlin",main_dish,0,,0
3190318,12466900,Burgunderbraten mit Semmelknödel,enthält Sulfite;Weizen;Eier;Milch und Milchprodukte;Sellerie;Rindfleisch;Alkohol,Hauptgerichte,2022-10-28,Mensa UNI Passau,"Innstraße 29, 94032 Passau, Germany",main_dish,7,Rindfleisch;Alkohol;Sellerie;Eier;Milch und Milchprodukte;enthält Sulfite;Weizen,7
3686806,2268807,Hacksteak,"Gericht enthält Gluten, Eier, Soja.",Rind Schwein,2016-11-15,Mensateria Ohm,"Wollentorstr. 4, 90489 Nürnberg, Germany",main_dish,1,,0
633852,2333790,Lasagne Bologneser Art,Menü enthält Schweinefleisch,Auflauf,2016-12-08,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,1,Menü enthält Schweinefleisch,1
4309550,15332691,"ofenfrisch...bis 16:00 Uhr..,, Flammkuchen mit Speck und Zwiebeln ""Elsässer Style""","Lieblingsessen;Milch und Milcherzeugnisse (einschl. Laktose);Schwein;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);mit Antioxidationsmittel;mit Konservierungsstoff;mit Phosphat",CampusKlassiker,2023-06-01,"Hamburg, Mensa Berliner Tor 🆕","Berliner Tor 7, 20099 Hamburg",main_dish,7,"Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);Milch und Milcherzeugnisse (einschl. Laktose)",6
2335970,13664999,"Falafelbällchen (A, A1) in Tomatensoße, dazu Broccoliröschen und Bulgur mit Dörrobst (A, A1, L)",Menü ist vegan;mit Konservierungsstoff (2);mit Antioxydationsmittel (3);geschwefelt (5);Glutenhaltiges Getreide (A);Weizen (A1);Sulfit/Schwefeldioxid (L),Angebot 2,2023-01-16,"Dresden, Mensa WUeins","Teplitzer Straße, 01217 Dresden",main_dish,7,Menü ist vegan;Glutenhaltiges Getreide (A);Weizen (A1),3
814824,13375964,Wurstgulasch,glutenhaltiges Getreide;Weizen;Sellerie;Senf;Milch/ Milchzucker;Veganes Gericht;Konservierungsstoff;Antioxidationsmittel;Phosphat,Pastateller,2023-01-04,"Leipzig, Mensa Peterssteinweg","Straße des 17. Juni 2a, 04107 Leipzig",main_dish,9,Konservierungsstoff;Antioxidationsmittel;Phosphat;Veganes Gericht;Milch/ Milchzucker;Sellerie;Senf;glutenhaltiges Getreide;Weizen,9
1716464,466356,"Königsberger Klopse mit Kapernsoße , Salzkartoffeln und Rote Beete Salat",Ei/-erzeugnisse;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Senf/-erzeugnisse;Süßungsmittel,Tagesgericht,2013-06-06,"Hamburg, Mensa Bucerius Law School"," Jungiusstraße 6, 20355 Hamburg",main_dish,7,Süßungsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Senf/-erzeugnisse;Glutenhaltiges;mit Schwein;Ei/-erzeugnisse,7
1276392,1991093,oder Falafel,Schwein;Geflügel;Lamm;Rind;Veganes Gericht;mit Farbstoff;mit Konservierungsstoff;mit Antioxidationsmitteln;geschwefelt;geschwärzt;glutenhaltiges Getreide;Krebstiere;Eier;Milch/ Milchzucker;Soja;Sellerie;Schalenfrüchte/ Nüsse;Sesam;Sulfit/ Schwefeldioxid;Weichtiere,WOK-Pfanne Premium,2016-06-27,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,20,geschwefelt;Rind;Schwein;Geflügel;mit Konservierungsstoff;mit Farbstoff;geschwärzt;Veganes Gericht;Lamm;Milch/ Milchzucker;Soja;Sellerie;glutenhaltiges Getreide;Eier;mit Antioxidationsmitteln;Sulfit/ Schwefeldioxid;Sesam;Schalenfrüchte/ Nüsse,18
4221920,12580648,Tagliatelle mit Auberginen und schwarzen Oliven,Sellerie;Weizen;geschwärzt;hauseigene Nudelmanufaktur;vegan,Hauptgericht,2022-10-31,"Stuttgart Mitte, Mensa Central","Stuttgart Mitte, Mensa Central Ossietzkystraße 3 70174 Stuttgart",main_dish,5,vegan;geschwärzt;Sellerie;Weizen,4
1363638,305174,"Pasta ""Martigiana"" mit Speck und Tomaten mit Penne und Parmesan",Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Antioxidationsmittel,Pasta-Bar pro 100g,2012-12-17,"Hamburg, Mensa Philosophenturm","Von-Melle-Park 6, 20146 Hamburg",main_dish,7,Antioxidationsmittel;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Konservierungsstoffe;mit Schwein,7
2641455,4897686,"Schlemmerfilet ""Bordelaise""",Fisch;Weizen,Essen B,2020-02-28,Mensa Clausthal,"Leibnizstr. 3, 38678 Clausthal-Zellerfeld, Deutschland",main_dish,2,Fisch;Weizen,2
752332,1507136,Ein gebratenes Schollenfilet Finkenwerder Art,,Essen,2015-09-25,Mensa FU Herrenhaus Düppel,"Oertzenweg 19b, 14163 Berlin",main_dish,0,,0
1534599,15050710,"Vegane Frikadelle mit Paprikagemüse, dazu Grillkartoffeln",Vegan,Abendangebot,2023-04-25,Mensa Golm,"Karl-Liebknecht-Str. 24/25, 14476 Potsdam OT Golm",main_dish,1,Vegan,1
1304659,939853,Seelachsfilet mit Broccoli - Käsefüllung,Fisch,Auswahlessen 2,2014-08-08,"Würzburg, Mensa am Hubland","Am Hubland 16I, 97074 Würzburg",main_dish,1,Fisch,1
2442816,4347139,Frische Rahmschwammerl,Glutenhaltiges Getreide;Weizen;Knoblauch;Milch und Laktose,Tagesgericht 3,2019-07-25,StuCafé Akademie Weihenstephan,"Alte Akademie 1, Freising",main_dish,4,Glutenhaltiges Getreide;Knoblauch;Weizen;Milch und Laktose,4
1667860,2126515,"Gemüselasagne mit Zucchini, Auberginen, Karotten, Tomaten und Paprika, dazu Basilikumsoße",Menü ist vegetarisch,Angebote,2016-08-17,"Dresden, Mensologie","Blasewitzer Str. 84, 01307 Dresden, Deutschland",main_dish,1,Menü ist vegetarisch,1
2169719,4016196,Esterhazygulasch vom Rind,Rindfleisch;Glutenhaltiges Getreide;Gerste;Weizen;Knoblauch;Milch und Laktose;Sellerie;Geprüfte Qualität Bayern,Aktionsessen 4,2019-03-11,StuBistro Schellingstraße,"Schellingstr. 3, München",main_dish,8,Glutenhaltiges Getreide;Rindfleisch;Sellerie;Knoblauch;Weizen;Gerste;Milch und Laktose,7
530522,372930,Pfefferhacksteak  dazu Kaisergemüse  und Kräuterpasta oder Bratkartoffeln,mit Rindfleisch,Angebot 3,2013-02-19,Mensa Brandenburg,"Magdeburger Straße 50, 14770 Brandenburg an der Havel",main_dish,1,mit Rindfleisch,1
1256072,1461758,Vollkornspirelli,,Pasta-Teller,2015-09-09,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
40396,517633,Eine Bratwurstschnecke,,Essen,2013-07-15,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",main_dish,0,,0
2555268,2310688,Eine Scheibe Fleischkäse,,Aktionsstand,2016-12-05,Backshop FU Rechtswissenschaft,"Van't-Hoff-Str. 8, 14195 Berlin",main_dish,0,,0
610002,14697575,"Hausgemachte Pasta, Linsenbolognese",vegan;KlimaTeller,FRIENDS,2023-04-04,"Hannover, Mensa Große Pause","Expo Plaza 10, 30539 Hannover",main_dish,2,vegan,1
2324245,1579616,"Mediterraner Crepe , mit Gemüsefüllung , Tomaten-Basilikumsoße",Klima Teller;Ei/-erzeugnisse;Sellerie/-erzeugnisse;Milch/-erzeugnisse;vegetarisch;Glutenhaltiges,Vegetarisch,2015-10-23,"Hamburg, Mensa Berliner Tor","Berliner Tor 7, 20099 Hamburg",main_dish,6,vegetarisch;Milch/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Klima Teller;Ei/-erzeugnisse,6
3112623,2246757,Frühlingsrolle mit Hähnchenfleisch,"mit Geflügel;mit süßsaurer Soße Es können 3 Wahlbeilagen gewählt werden: Curryreis, Penne Rigate, Pariser Karotten, Wokgemüse, Beilagensalate, Götterspeise, Pfirsich-Dickmilch, Vanillepudding oder Eis",Tagesmenü,2016-10-25,Uni-Bielefeld Mensa,"Universitätsstraße 25, 33615 Bielefeld, Germany",main_dish,2,mit Geflügel,1
1010000,3195662,Schlesischer Hefering mit Vanillesauce,gelb (Ampel);vegetarisch;Milch und Milchprodukte (inkl. Laktose);Hefe;Weizen,Aktionen,2018-04-25,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",main_dish,5,vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen;Hefe;gelb (Ampel),5
161577,1562913,Auf der Haut gebratenes Lachsforellenfilet,,Essen,2015-10-14,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",main_dish,0,,0
1416110,4326590,Gelbes Thaicurry mit buntem Gemüse & Sojaschnetzel,oder Hähnchenfleisch;mit Konservierungsstoff;glutenhaltiges Getreide;Soja;Sellerie;Veganes Gericht,WOK,2019-06-21,"Leipzig, Mensa am Park","Universitätsstraße 5, 04109 Leipzig",main_dish,6,mit Konservierungsstoff;Veganes Gericht;Soja;Sellerie;glutenhaltiges Getreide,5
2658917,1113483,Schupfnudel-Gemüsepfanne,Fleischlos,Vegetarisch,2014-12-16,"Würzburg, Mensa Augenklinik","Röntgenring 12, 97070 Würzburg",main_dish,1,Fleischlos,1
859135,500646,Grünes WOK-Gemüse mit Schweinefleisch oder Tofu,Schwein;Geflügel;Lamm;Rind;Veganes Gericht;Fisch;Farbstoff;Konservierungsstoff;Antioxydationsmittel;Geschmacksverstärker;geschwärzt;mit Phosphat,WOK 2 Aktion,2013-08-22,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,12,Farbstoff;Konservierungsstoff;Geschmacksverstärker;Rind;Schwein;Fisch;Geflügel;mit Phosphat;Antioxydationsmittel;geschwärzt;Veganes Gericht;Lamm,12
3702487,2710213,gebratener Reis mit Hühnerfleisch und Asiagemüse ,mit Weizen;mit Soja,Geflügel,2017-07-06,Mensa Insel Schütt,"Hintere Insel Schütt 5, 90403 Nürnberg, Germany",main_dish,2,mit Weizen;mit Soja,2
29594,3648985,Hausgemachtes Schnitzel vom Schweinerücken nach Wiener Art Pommes frites und Salat,gelb (Ampel);Schweinefleisch bzw. mit Gelatine vom Schwein;Weizen;Eier;Sellerie;Hefe;Senf,Aktionen,2018-10-12,Mensa HTW Wilhelminenhof,"Wilhelminenhofstraße 75 A, Gebäude G, 12459 Berlin",main_dish,7,Sellerie;Senf;Eier;Weizen;Hefe;gelb (Ampel),6
896257,2744223,Paprikarahmgulasch vom Schwein,Schwein,Auswahlessen 2,2017-07-27,"Würzburg, Mensa am Studentenhaus","Am Studentenhaus 1, 97070 Würzburg",main_dish,1,Schwein,1
3525814,4891219,"Hähnchenbrust, natur, Andalusische Sauce",geschwärzt,Essen I,2020-02-05,"Essenausgabe Süd, Düsseldorf","Universitätsstraße 1, 40225 Düsseldorf",main_dish,1,geschwärzt,1
1249565,1611341,Schweinerückensteak mit Mischpilzen überbacken,,Hauptkomponenten,2015-11-29,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
1268375,1695792,Hamburger Schnitzel (mit Setzei),,Hauptkomponenten,2016-01-24,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
2135260,4385727,Grillgemüse im Fladenbrot mit veganem Kräuter-Dip,vegan,Angebote,2019-07-10,"Dresden, BioMensa U-Boot","George-Bähr-Straße/Hettnerstraße 3, 01069 Dresden",main_dish,1,vegan,1
63719,4133190,Eine vegetarische Frühlingsrolle an Koriander-Chili-Dip,rot (Ampel);vegetarisch;Antioxidationsmittel;Süßungsmittel;Weizen;Eier;Sellerie;Soja;Sesam,Essen,2019-04-29,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",main_dish,9,Antioxidationsmittel;Süßungsmittel;vegetarisch;Soja;Sellerie;Eier;Sesam;Weizen;rot (Ampel),9
723099,1119258,Schupfnudeln mit Rahmsauerkraut,,Essen,2014-12-15,Mensa HTW Treskowallee,"Treskowallee 8, 10318 Berlin",main_dish,0,,0
974294,3703178,"Geflügelragout süß-sauer mit Bambussprossen, roter Paprika und Ananas",gelb (Ampel);konserviert;Soja;Schwefeldioxid und Sulfide,Essen,2018-11-05,Mensa Berliner Hochschule für Technik Luxemburger Straße,"Luxemburger Straße 9, 13353 Berlin",main_dish,4,Soja;Schwefeldioxid und Sulfide;konserviert;gelb (Ampel),4
3369205,2329220,Putenbrustgeschnetzeltes mit Karotten-Orangensoße,Gericht enthält undefinierte Chemikalien:G.,Geflügel,2016-12-14,Mensa Ansbach,"Residenzstraße 8, 91522 Ansbach, Germany",main_dish,1,,0
99511,2092503,"2 Stück Hähnchenschnitzel ""Wiener Art""",Gefluegel,Auswahlessen 1,2016-08-04,"Bamberg, Mensa Austraße","Austraße 37, 96047 Bamberg",main_dish,1,Gefluegel,1
3153612,2775765,Hähnchen- Filet- Spieß mit Reis,mit Antioxidationsmittel;Milch und Milchprodukte;Sellerie;Geflügel,Hauptgerichte,2017-08-21,Mensa OTH Regensburg,"Seybothstraße, 93006 Regensburg, Germany",main_dish,4,Geflügel;mit Antioxidationsmittel;Sellerie;Milch und Milchprodukte,4
732482,2579285,Fünf Cevapcici vom Rind,,Essen,2017-05-05,Mensa HTW Treskowallee,"Treskowallee 8, 10318 Berlin",main_dish,0,,0
3489510,3507183,"Seelachs im Backteig, Zitronen-Butter-Soße , Erbsen, Kartoffel-Kräuter-Püree",Fisch;Senf;mit Antioxidationsmittel;Milch,Essen 3,2018-07-12,"Chemnitz, Reichenhainer Straße, Mensa","Reichenhainer Straße 55, 09126 Chemnitz",main_dish,4,Fisch;mit Antioxidationsmittel;Senf;Milch,4
3136272,13480483,Bohnen-Kartoffelcurry,mit Naan Brot;Vegan,Essen 3,2023-01-02,Mensa Casino,"Grüneburgplatz 1, 60323 Frankfurt am Main, Germany",main_dish,2,Vegan,1
3362164,2001108,Pizza Champignons-Lachs,,Essen 7,2016-06-03,mensa accent,"Kurt-Schumacher-Ring 18, 65197 Wiesbaden, Germany",main_dish,0,,0
1251737,1870185,Braumeistersteak (mit Schinken und Käse gefüllt),,Hauptkomponenten,2016-04-17,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
2631509,1129022,Fleischspieß mit Paprikasoße,Schweinefleisch,Essen B,2015-01-05,Mensa Clausthal,"Leibnizstr. 3, 38678 Clausthal-Zellerfeld, Deutschland",main_dish,1,Schweinefleisch,1
649757,749331,"Schweineschnitzel oder Möhrenschnitzel, dazu Champignon-Lauchgemüse  oder Erbsen-Mais-Gemüse mit Kartoffelkroketten",Menü enthält Schweinefleisch,Abendangebot,2014-03-03,"Dresden, Mensa Siedepunkt","Zellescher Weg 17, 01069 Dresden, Deutschland",main_dish,1,Menü enthält Schweinefleisch,1
2462386,2279185,Reis mit asiatischem Gemüse und Koriander,veganes Gericht;vegan;mit Konservierungsstoff,Tagesgericht 1,2016-11-22,Mensa Arcisstraße,"Arcisstr. 17, München",main_dish,3,vegan;mit Konservierungsstoff;veganes Gericht,3
1232361,1060468,Geflügelleber in Rotweinsoße,,Hauptkomponenten,2014-12-23,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
3982650,4514137,"Penne mit Brokkoli in Rahm ,dazu Salat und Dessert",Ohne Fleisch;Kinderteller;Gluten aus Weizen & Erzeugnisse;mit Farbstoff;Soja & Erzeugnisse;Milch & Erzeugnisse;Senf & Erzeugnisse,Tagesgericht,2019-09-09,Mensa der FernUni Hagen,"Universitätsstrasse 31, 58097 Hagen, Germany",main_dish,7,mit Farbstoff;Gluten aus Weizen & Erzeugnisse;Milch & Erzeugnisse;Soja & Erzeugnisse;Ohne Fleisch;Senf & Erzeugnisse,6
788073,902724,Currywurst mit Pommes frites,Schwein;mit Konservierungsstoff;mit Antioxidationsmittel;mit Geschmacksverstärker;mit Phosphat;mit Farbstoff,Hauptgerichte,2014-07-03,Mensa Wernigerode,"Friedrichstraße 57 – 59,  38855 Wernigerode",main_dish,6,Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;mit Geschmacksverstärker;mit Farbstoff,6
3529933,3516213,"Kibbelinge im Backteig, Tatarensauce",Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;Fisch und Fischerzeugnisse;Senf und Senferzeugnisse;mit Süßungsmittel;Weizen;Mit Konservierungsmittel;Eier und Eierzeugnisse,Essen I,2018-07-20,"Mensa Rheydter Straße, Mönchengladbach","Rheydter Str. 325, 41065 Mönchengladbach",main_dish,8,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Süßungsmittel;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Milch und Milcherzeugnisse / enthält Laktose,7
1043615,4434333,"Sonnenweizen mit frischer Zucchini, Paprika, und Karotten",grün (Ampel);vegan;Klimaessen;Weizen,Essen,2019-08-20,Mensa HfM Charlottenstraße,"Charlottenstraße 55, 10117 Berlin",main_dish,4,vegan;Weizen;Klimaessen;grün (Ampel),4
1180766,906620,Schwäbische Spätzle mit Champignonsauce(2)(3),ovo-lacto-vegetabil,Angebot 1,2014-07-21,Mensa Kiepenheuerallee,"Kiepenheuerallee 5, 14469 Potsdam",main_dish,1,ovo-lacto-vegetabil,1
3738604,4726826,"Köttbullar (Fleischbällchen) mit Rahmsauce und Spirelli-Nudeln, Salatbeilage","Schwein;Rind;Enthält Allergene: Weizen, Milch",Tagesgericht 1,2019-12-04,Bistro Frieden,"Scharnhorststraße 100, 48151 Münster, Germany",main_dish,3,Rind;Schwein,2
482696,3990695,"Mediterrane Frikadelle, Créme-fraîche-Sauce",Rindfleisch;Eier und Eiererzeugnisse;Milch und Milcherzeugnisse;mit Knoblauch,Wahlmenü (Komponente mit Fleisch),2019-02-28,Mensa TiHo-Tower,"Bünteweg 2, 30559 Hannover",main_dish,4,Milch und Milcherzeugnisse;Eier und Eiererzeugnisse;mit Knoblauch;Rindfleisch,4
597374,8741840,"Hausgemachte Pasta, Linsenbolognese",ohne Fleisch;vegan;Natürlich frisch;KlimaTeller,FRIENDS,2021-11-25,"Hannover, Mensa Große Pause","Expo Plaza 10, 30539 Hannover",main_dish,4,vegan;ohne Fleisch;Natürlich frisch,3
1612040,10640103,Amerikanischer Krautsalat vegan,vegan,QUEERBEET,2022-04-01,"Hannover, Contine","Königsworther Platz 1, 30167 Hannover",main_dish,1,vegan,1
3428885,3719652,Deftige Grillhaxe mit Schwarzbiersauce,,Hauptessen,2018-10-26,Mensa Bernburg,"Strenzfelder Allee 20, 06406 Bernburg",main_dish,0,,0
4278324,8191288,"Steckrüben- Kartoffel- Karotten- Gratin, Rucolaquark",Ei;Mi,Mittagessen,2021-10-12,Mensa Flensburg,"Thomas-Fincke-Straße 20, 24943 Flensburg",main_dish,2,Ei,1
