meal_id,meal_name,meal_category,notes_list,notes_list_90,meal_super_category
4013106,"Karottensticks mit Sesam mit Gemüsechutney , dazu 3 Beilagen nach Wahl",Vegetarisches Menü,Vegane Speise;Kinderteller;Sellerie & Erzeugnisse;Sesamsamen & Erzeugnisse;Gluten aus Weizen & Erzeugnisse;mit Alkohol;Soja & Erzeugnisse,mit Alkohol;Gluten aus Weizen & Erzeugnisse;Soja & Erzeugnisse;Sellerie & Erzeugnisse;Vegane Speise;Kinderteller,mix
2308117,Penne,Pastateller,mit Farbstoff;mit Konservierungsstoff;Sulfit/ Schwefeldioxid;glutenhaltiges Getreide;Milch/ Milchzucker;Sellerie;Schwein,Schwein;mit Konservierungsstoff;mit Farbstoff;Milch/ Milchzucker;Sellerie;glutenhaltiges Getreide;Sulfit/ Schwefeldioxid,main_dish
285806,Ungarische Gulaschsuppe,OMeGa-Suppenbar,Menü enthält Rindfleisch,Menü enthält Rindfleisch,unmatched
2588157,Maissuppe,Essen 1,,,mix
3601826,Scharfes Kürbisgemüse mit Linsen & Rucola auf Penne Rigate,mensaVital,glutenhaltiges Getreide;Veganes Gericht,Veganes Gericht;glutenhaltiges Getreide,main_dish
11692634,"Putenpfanne ""Sweet Chili"" mit Kräuterreis oder Pommes frites",Fleisch,"ohne deklarationspflichtige Zusatzstoffe;Geflügel, Knoblauch",ohne deklarationspflichtige Zusatzstoffe,main_dish
1165468,Eierspätzle,Fleischgericht,Schwein;Rind;Milch/ Milchzucker;glutenhaltiges Getreide;Eier,Rind;Schwein;Milch/ Milchzucker;glutenhaltiges Getreide;Eier,mix
304827,"Hähnchenbrust ""Hawaii"" mit Curryhollandaise",Theke 3 - Empfehlung des Tages,enthält Milcheiweiß;mit Geflügelanteil,enthält Milcheiweiß,unmatched
2604063,Berliner mit Zucker,Kuchen und Gebäck,ohne Fleisch;Glutenhaltiges Getreide;Eier und Eiererzeugnisse;Soja und Sojaerzeugnisse;Milch und Milcherzeugnisse,ohne Fleisch;Soja und Sojaerzeugnisse;Milch und Milcherzeugnisse;Glutenhaltiges Getreide;Eier und Eiererzeugnisse,dessert
4076586,Rote Bete Suppe mit frischem Meerrettich,Suppen,gelb (Ampel);vegan;Antioxidationsmittel;Süßungsmittel;Soja,vegan;Antioxidationsmittel;Süßungsmittel;Soja;gelb (Ampel),soup
4521726,Gyros,Essen 4,mit Tzatziki (G) und einer Beilage nach Wahl;Schwein,Schwein,main_dish
3947875,"Ofenkartoffel, Kräuterquark-Dip",Essen II,mit Milcheiweiß;vegan;Milch und Milcherzeugnisse / enthält Laktose,vegan;mit Milcheiweiß;Milch und Milcherzeugnisse / enthält Laktose,main_dish
1364180,Vollkornspaghetti mit Tomaten - Nuss - Sauce,Essen,,,main_dish
9200101,Kleine Salatschale,Salate,grün (Ampel);vegan;Süßungsmittel;Sellerie,vegan;Süßungsmittel;Sellerie;grün (Ampel),salad
2937998,MSC Schollenfilet gebacken mit  Dillmayonnaise  Kartoffeln,Fisch MSC Fisch,mit Weizen;mit Milch/Laktose;mit Senf;mit Eier;mit Soja,mit Weizen;mit Milch/Laktose;mit Senf;mit Soja;mit Eier,main_dish
2936564,dazu Kartoffel-Sahnepüree,Front Cooking,Vegetarisch;mit Farbstoff;Milch und Milchprodukte (inkl. Laktose),mit Farbstoff;Vegetarisch;Milch und Milchprodukte (inkl. Laktose),mix
4049164,Grüne Bohnen,Beilagen,grün (Ampel);vegan;bio,vegan;bio;grün (Ampel),side_dish
501379,Indisches Karottencurry (vegan),Vegetarisches Menü,,,mix
4966188,Verschiedene Dessertvariationen,Dessertauswahl,Bitte beachten Sie die Auszeichnung am Produkt,Bitte beachten Sie die Auszeichnung am Produkt,dessert
595290,Preiselbeer-Joghurt,Desserts,,,dessert
8437341,Salzkartoffeln,Beilage,vegan,vegan,side_dish
5084277,Kesselgulasch mit Brötchen,Mittag Ausgabe A,enthält Milch- und Milchzucker;enthält Weizen;Rindfleisch,Rindfleisch;enthält Weizen;enthält Milch- und Milchzucker,main_dish
398995,Rindfleisch mit Meerrettich,Auswahlessen 2,Rind,Rind,main_dish
1700742,"Erbsen, natur",Beilagen,fleischloses Gericht,fleischloses Gericht,side_dish
3029863,Tagessuppe Marinierte Hähnchenbrust in BBQ-Sauce dazu Pommes frites & Sourcreme-Dip,Essen I,Geflügel;Weizen;Milch und Milchprodukte (inkl. Laktose);mit Süßungsmitteln;Sellerie und Sellerieerzeugnisse;mit Farbstoff;Ei und Eierprodukte,Sellerie und Sellerieerzeugnisse;Geflügel;mit Süßungsmitteln;mit Farbstoff;Milch und Milchprodukte (inkl. Laktose);Ei und Eierprodukte;Weizen,main_dish
2523377,Seelachs Tacco mit Tomaten-Salsa Petersilienkartoffeln,Mittagessen,Glutenhaltiges Getreide;Fisch-/erzeugnisse;Milch/ -erzeugnisse (inkl. Laktose),Glutenhaltiges Getreide,main_dish
4137039,"Ravioli mit Veganem Tofu-Dip , dazu 3 Beilagen nach Wahl",Vegetarisches Menü,Vegane Speise;Kinderteller;Gluten aus Weizen & Erzeugnisse;Soja & Erzeugnisse,Gluten aus Weizen & Erzeugnisse;Soja & Erzeugnisse;Vegane Speise;Kinderteller,mix
3020104,"Cordon bleu , Rahmsauce",Klassiker,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Phosphat;Gluten;Weizen;Milch,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Phosphat;Milch;Gluten;Weizen,main_dish
12780541,Kichererbsen-Kokos-Korma dazu Mandelreis,Hauptessen,enthält Mandeln;vegan,vegan,main_dish
7826408,Träumereien,Buffet,"Sweet delights
",,mix
656534,Maultaschen mit Gemüsefüllung und Kartoffelsalat dazu Bohnensalat,Tagesgericht,mit Süßungsmittel,mit Süßungsmittel,main_dish
3955666,Mais oder Mischsalat,Nebenbeilage,,,side_dish
2371951,Pasta Asciutta,Hauptgerichte,mit Antioxidationsmittel;Gluten;Eier;Milch und Milchprodukte;Sellerie;Weizen;Schweinefleisch;Rindfleisch,Rindfleisch;Schweinefleisch;mit Antioxidationsmittel;Sellerie;Eier;Gluten;Milch und Milchprodukte;Weizen,main_dish
4293182,Quarkspeise , Dessert 1 ,Ananassauce;g,,unmatched
2707728,Frikadelle mit Paprikarahmsauce,Essen 2,Eier und Eiererzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen;mit Eiklar;Schwein;Rind,Eier und Eiererzeugnisse;Rind;Schwein;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen,mix
165778,Nudeln,Beilagen,veganes Gericht,veganes Gericht,side_dish
3189559,Vier Eierpfannkuchen mit Apfelmus,Essen,gelb (Ampel);vegetarisch;bio;Antioxidationsmittel;Eier;Milch und Milchprodukte (inkl. Laktose);Weizen,Antioxidationsmittel;vegetarisch;Eier;Milch und Milchprodukte (inkl. Laktose);Weizen;bio;gelb (Ampel),main_dish
4227515,Pfirsiche,Beilagen,Vegane Speise,Vegane Speise,side_dish
3814744,Risi-Pisi,Wahlmenü (Beilage),ohne Fleisch;vegan;Natürlich frisch,vegan;ohne Fleisch;Natürlich frisch,side_dish
8122050,"Rostbrätel mit Zwiebeln und rustikalem Karottengemüse, dazu Bratkartoffeln",Angebot 3,Alkohol;Schwein,Schwein;Alkohol,main_dish
628193,Manzo con salsa di funghi  - Rinderschmorbraten,Essen,,,main_dish
4635568,"Berliner Currywurst mit Pommes frites, gebratenen Zwiebeln, Tomatenketchup und Salat",Aktionen,rot (Ampel);Schweinefleisch bzw. mit Gelatine vom Schwein;konserviert;Antioxidationsmittel;Süßungsmittel;Nitritpökelsalz;Senf,Antioxidationsmittel;Süßungsmittel;Nitritpökelsalz;Senf;Schweinefleisch bzw. mit Gelatine vom Schwein;konserviert;rot (Ampel),main_dish
4854514,Rinderhacksteak mit Rahmsauce,Grill,Rindfleisch;Schweinefleisch;Hühnerei;Glutenhaltiges Getreide;Gerste;Weizen;Knoblauch;Milch und Laktose;Senf;Soja,Glutenhaltiges Getreide;Rindfleisch;Schweinefleisch;Soja;Senf;Knoblauch;Weizen;Gerste;Milch und Laktose;Hühnerei,main_dish
3865647,American-Dressing,Salate,rot (Ampel);vegan;Soja;Senf,vegan;Soja;Senf;rot (Ampel),salad
1713318,Lauch-Champignon-Gemüse,Gemüsebeilagen,,,side_dish
14590514,Gemüse mit bunten Linsen,Essen 3,"und einer Beilage nach Wahl,;Vegan",Vegan,main_dish
4856279,Saisonale Beilagensalate,Aktion,vegan,vegan,mix
2106293,Beerenjoghurt,Nachspeisen,Milch und Milchprodukte;vegetarisch,vegetarisch;Milch und Milchprodukte,dessert
8498309,Falafelbällchen auf Tabouleh mit Bulgur dazu Salat und Sojadressing,Vegan,ohne deklarationspflichtige Zusatzstoffe;Allergene: Soja;Knoblauch,Knoblauch;ohne deklarationspflichtige Zusatzstoffe,main_dish
379328,Scaloppine vom Puter mit Zitronen-Estragonsauce,Empfehlung des Tages,enthält Milcheiweiß;mit Konservierungsstoff;mit Geflügelanteil;mit Geschmacksverstärker,mit Konservierungsstoff;mit Geschmacksverstärker;enthält Milcheiweiß,main_dish
591818,Tomatensalat,Beilagen,veganes Gericht,veganes Gericht,side_dish
3701964,Salat,Gut & Günstig 1,,,mix
4304443,Pappardelle,Beilage,Weizen;mit Farbstoffen,Weizen;mit Farbstoffen,side_dish
8463751,"Mediterrane Kartoffelpfanne mit Kirschtomaten, Paprika , dazu Bohnensalat (auch vegetarisch erhältlich mit Hirtenkäse)",Fertig 1,Menü ist vegan;enthält Knoblauch;Soja (F);Milch/Milchzucker (Laktose) (G),Menü ist vegan;enthält Knoblauch;Milch/Milchzucker (Laktose) (G);Soja (F),unmatched
1823950,Pizza mit Hähnchenbrustfilet und Pfirsichen,Pizza,Soja(bohnen) und daraus gewonnene Erzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);glutenhaltiges Getreide;mit Farbstoff;mit Konservierungsstoff;Geflügel,Geflügel;mit Konservierungsstoff;mit Farbstoff;glutenhaltiges Getreide;Milch und Milcherzeugnisse (einschließlich Laktose);Soja(bohnen) und daraus gewonnene Erzeugnisse,main_dish
712418,Salzkartoffeln,Beilagen,veganes Gericht,veganes Gericht,side_dish
1222999,Belegte Brötchen finden Sie in großer Auswahl im Kühlthresen,Belegte Brötchen,,,unmatched
5163095,Countrykartoffeln,Beilagen,Glutenhaltiges Getreide;Weizen;vegetarisch,Glutenhaltiges Getreide;vegetarisch;Weizen,side_dish
1347929,Kleiner Beilagensalat,Beilage,vegan,vegan,side_dish
536393,"Räuchertofu mit Haferflockenkruste an Chili-Dip, dazu Erdnussreis 
und Salat",Fit & Vital Komplettangebot,Menü ist vegan,Menü ist vegan,unmatched
11938448,Pommes Frites MAXI PORTION Ausgabe 5,Beilagen,,,side_dish
8958010,"Chinakohl-Mandarinensalat, Kräutervinaigrette",QUEERBEET,ohne Fleisch;vegan;Natürlich frisch;KlimaTeller,vegan;ohne Fleisch;Natürlich frisch;KlimaTeller,main_dish
4416378,Chili con Carne,Menü 2,"Rind;Enthält Zusatzstoffe: Antioxidationsmittel, Konservierungsstoff",Rind,main_dish
15783225,Salatbuffet mit vegetarischen und veganen Komponenten,Salat-/ Gemüsebuffet 100g,Eier;Gerste;Konservierungsstoff;Senf;Soja;Weizen;vegetarisch,Konservierungsstoff;vegetarisch;Soja;Senf;Eier;Weizen;Gerste,unmatched
3126088,"Spaghetti - Pfanne mit Ratatouille und Tofu[Gl,ML]",Gut & Günstig,,,mix
11349298,Mensa-Vital: Kichererbsen - Gemüse - Curry mit Basmatireis,Vital - Essen,Vegan,Vegan,main_dish
2342707,Bierbrat'l mit Sauce,Tagesgericht 4,mit Fleisch;Schweinefleisch;Gericht mit Alkohol,Schweinefleisch;mit Fleisch,main_dish
2214213,"Pfeffergeschnetzeltes vom Rind dazu eine Beilage nach Wahl (A,C,G,9)",Mensa,,,mix
4383020,Orangenwaffel mit Sahne,Essen 7,vegetarisch,vegetarisch,main_dish
6270333,", Pfefferrahmsoße ",Menü 1,Glutenhaltiges Getreide;Milch/Laktose;Sellerie;Soja;Vegetarisch;Weizen,Glutenhaltiges Getreide;Soja;Sellerie;Vegetarisch;Weizen;Milch/Laktose,mix
