meal_id,meal_name,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
15949175,Tortelloni Ricotta  mit Sahne-Soße  auf Wunsch mit gekochtem Schinken ,mit Weizen;mit Eier;mit Milch/Laktose,Schwein,2023-07-17,Mensa Ansbach,"Residenzstraße 8, 91522 Ansbach, Germany",main_dish,3,mit Weizen;mit Milch/Laktose;mit Eier,3
3165328,Zwei gebackene Falafel-Bagel an Tomaten-Kurkuma-Sauce dazu Risoni und Salat,gelb (Ampel);vegan;Farbstoff;Sesam;Hefe;Weizen,Essen,2018-04-04,Cafeteria FU Otto-Suhr-Institut,"Ihnestraße 21, 14195 Berlin",main_dish,6,vegan;Farbstoff;Sesam;Weizen;Hefe;gelb (Ampel),6
249265,"SCHARFER START~ Mariniertes Teufelshähnchen mit Mango-Relish und Basilikum-Gnocchi, dazu Rucola-Tomatensalat",,Angebote,2012-10-10,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,0,,0
2373508,Spiralnudeln,,Aktionsstand,2017-01-11,Mensa HU Süd,"Unter den Linden 6, 10117 Berlin",main_dish,0,,0
1113571,"Hacksteak ""Mexiko""",Schwein,Auswahlessen 2,2014-12-16,"Würzburg, Mensa am Hubland","Am Hubland 16I, 97074 Würzburg",main_dish,1,Schwein,1
2322773,Suflaki mit hausgemachtem Tsatsiki,Schwein,Auswahlessen 2,2016-12-01,"Würzburg, Mensa am Hubland","Am Hubland 16I, 97074 Würzburg",main_dish,1,Schwein,1
13058592,Penne mit Waldpilzen und Cocktailtomaten,Weizen;vegan,Hauptgericht,2022-11-28,"Esslingen, Mensa Flandernstraße","Esslingen, Mensa Flandernstraße Flandernstraße 107 73732 Esslingen",main_dish,2,vegan;Weizen,2
1193449,Sojageschnetzeltes in Kurkuma-Tomatenrahm,,Essen,2015-02-16,Mensa FU Veggie Nº 1,"Van't-Hoff-Straße 6, 14195 Berlin",main_dish,0,,0
4949795,Fleischbällchen mit Tomatensoße,glutenhaltiges Getreide;Eier;Weizen;Knoblauch;Rind/Kalb;Schwein;Rind,Auswahlessen 2,2020-02-21,Mensa Aschaffenburg,"Würzburger Straße 45, 63743 Aschaffenburg",main_dish,7,Rind;Schwein;glutenhaltiges Getreide;Knoblauch;Eier;Weizen;Rind/Kalb,7
11870495,Pommes,,Essen,2022-09-02,"Ulm, Uni Party Diner / Campus Diner","Am Eingang der Uni sSüd, 89081 Ulm",main_dish,0,,0
13668666,Geriebener Emmentaler,glutenhaltiges Getreide;Weizen;Milch/ Milchzucker;Veganes Gericht;Konservierungsstoff,Pastateller,2023-01-23,"Leipzig, Mensa/Cafetaria Schönauer Straße","Schönauer Straße 113, 04207 Leipzig",main_dish,5,Konservierungsstoff;Veganes Gericht;Milch/ Milchzucker;glutenhaltiges Getreide;Weizen,5
3983954,Paprikacremesuppe,vegetarisch;Milch,Tagessuppe,2019-02-14,"Chemnitz, Straße der Nationen, Cafeteria","Straße der Nationen 62, 09111 Chemnitz",soup,2,vegetarisch;Milch,2
800223,Schweinerückensteak mit Sauce Robert,mit Süßungsmittel;Schweinefleisch,Empfehlung des Tages,2014-04-07,"Aachen, Mensa Ahorn","Ahornstr. 55, 52074 Aachen",main_dish,2,Schweinefleisch;mit Süßungsmittel,2
5053370,Geflügelcurrywurst,Geflügelfleisch;Konservierungsstoff;Antioxidationsmittel;Phosphat;Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse,Menü,2020-06-23,Mensa PZH,"An der Universität 2, 30823 Garbsen",main_dish,6,Sellerie und Sellerieerzeugnisse;Konservierungsstoff;Senf und Senferzeugnisse;Antioxidationsmittel;Phosphat,5
786104,Zander auf Wasabi-Schaum an Kartoffel-Birnenpüree,mit Alkohol;Farbstoff;Antioxidationsmittel;Fisch und Fischerzeugnisse;Milch und Milcherzeugnisse;Senf und Senferzeugnisse;Schwefeldioxid und Sulfite,Menü,2014-04-04,Hannover Hauptmensa Marktstand,"Callinstraße 23, 30167 Hannover",main_dish,7,Milch und Milcherzeugnisse;mit Alkohol;Farbstoff;Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;Antioxidationsmittel;Schwefeldioxid und Sulfite,7
4760283,Gedünstetes Seelachsfilet,"mit Dill-Senfsauce (9, A, G, J, A1) Salbei-Honigmöhrchen (G) und Wildreismischung;MensaVital;MSC-Fisch",Essen 6,2019-12-04,Mensa Pi x Gaumen,"Max-von-Laue-Str. 9, 60438 Frankfurt am Main, Germany",main_dish,3,MensaVital,1
2810922,"Rindergeschnetzeltes mit Chinagemüse in scharfer Sauce (1,f,l) Curryreis, Eichblattsalat, Frenchdressing (3,a,c,g,j), Kohlrabigemüse in Rahm (g), Butterkartoffeln (g), Tagesdessert Joghurt im Becher",,Menü II,2017-09-21,"Göttingen, Bistro HAWK","Von-Ossietzky-Straße 99, Göttingen",main_dish,0,,0
12938794,Backfisch mit Frankfurter Grüne Sauce und Salzkartoffeln,Ei;MSC-zertifizierter Fisch (MSC-C-51632);Milch und Laktose;Senf;Weizen,Hauptgericht,2022-11-25,"Esslingen, Mensa Flandernstraße","Esslingen, Mensa Flandernstraße Flandernstraße 107 73732 Esslingen",main_dish,5,Senf;Weizen;Ei;Milch und Laktose,4
3197904,Geriebener Hartkäse,mit Konservierungsstoff;mit Antioxidationsmitteln;mit Phosphat;glutenhaltiges Getreide;Milch/ Milchzucker;Sulfit/ Schwefeldioxid;Schwein,Pastateller,2018-05-03,"Leipzig, Mensa Peterssteinweg","Straße des 17. Juni 2a, 04107 Leipzig",main_dish,7,Schwein;mit Phosphat;mit Konservierungsstoff;Milch/ Milchzucker;glutenhaltiges Getreide;mit Antioxidationsmitteln;Sulfit/ Schwefeldioxid,7
10341650,Pasta Funghi ,mit Weizen;mit Milch/Laktose,Vegetarisch,2022-03-17,Mensa Regensburger Straße,"Regensburger Str. 160, 90478 Nürnberg, Germany",main_dish,2,mit Weizen;mit Milch/Laktose,2
1412802,Gnocchi mit Gemüseragout,Ei/-erzeugnisse;Sellerie/-erzeugnisse;Milch/-erzeugnisse;vegetarisch;Glutenhaltiges;Campus Vital;Schwefeldioxid/Sulfite,Vegetarisch,2015-07-07,"Hamburg, Mensa Harburg   ","Denickestraße 22,  21073 Hamburg",main_dish,7,vegetarisch;Milch/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;Ei/-erzeugnisse;Schwefeldioxid/Sulfite,6
465823,Gurkencremesuppe mit Dill,,Suppen,2013-06-07,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",soup,0,,0
894605,Vier Eierpfannkuchen,,Essen,2014-07-02,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",main_dish,0,,0
15782886,"Röstkartoffeln mit Spitzkohl, gebratener Paprika, Sonneblumenhack und Skyr",Klimateller;Neu;Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Soja und Sojaerzeugnisse;Vegan;enthält keine laktosehaltigen Lebensmittel;mit Antioxidationsmittel,CampusKlassiker,2023-06-21,"Hamburg, Mensa Bergedorf 🆕","Ulmenliet 20, 21033 Hamburg",main_dish,8,Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;mit Antioxidationsmittel;Vegan;enthält keine laktosehaltigen Lebensmittel;Klimateller,7
3137566,"Mariniertes Schweinekammsteak an Pfefferesauce, Pommes wedges und Salat",rot (Ampel);Senf,Aktionen,2018-03-09,Mensa TU Hardenbergstraße,"Hardenbergstraße 34, 10623 Berlin",main_dish,2,Senf;rot (Ampel),2
442726,Sesam-Gemüsepfanne,Fleischloses Gericht;Veganes Gericht;Farbstoff;Konservierungsstoff;Antioxydationsmittel;geschwärzt,WOK 1 Aktion,2013-06-30,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,6,Farbstoff;Konservierungsstoff;Fleischloses Gericht;Antioxydationsmittel;geschwärzt;Veganes Gericht,6
1085094,"Schnitzel Bar[2,3,4,5]",,Schnitzelbar,2014-12-04,"Karlsruhe, Mensa Moltke","Moltkestraẞe, Karlsruhe",main_dish,0,,0
2857253,Mediterrane Gemüselasagne mit Salatrauke,Eier und Eiererzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Senf und Senferzeugnisse;Schwefeldioxid und Sulphite (> 10 mg/kg o. 10 mg/l);Weizen;mit Farbstoff;mit Konservierungsstoff;geschwefelt;geschwärzt;vegetarisch,Essen 4,2017-10-20,Mensa 2,"Beethovenstraße 15, 38106 Braunschweig",main_dish,10,Eier und Eiererzeugnisse;Senf und Senferzeugnisse;geschwefelt;vegetarisch;mit Konservierungsstoff;mit Farbstoff;geschwärzt;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen,9
262836,Getreidebolognese,,Essen,2012-11-02,Mensa HfM Charlottenstraße,"Charlottenstraße 55, 10117 Berlin",main_dish,0,,0
2262421,Zitrus-Rindercurry mit Gemüse,und einer Beilage nach Wahl,Essen 3,2016-11-09,Mensa POINT,"Bertramstraße 27, 65185 Wiesbaden, Germany",main_dish,1,und einer Beilage nach Wahl,1
10702183,"Hähnchenbrustfilet mit Raz el Hanout-Soße , dazu orientalische Quinoa-Reis-Pfanne mit Kirchererbsen und Salat",Geflügel;Glutenhaltiges Getreide;Sellerie,Ausgabe 1,2022-04-07,"Pirmasens, Hochschule Kaiserslautern Mensa","Carl-Schurz-Straße 10-16, 66953 Pirmasens",main_dish,3,Glutenhaltiges Getreide;Geflügel;Sellerie,3
4636134,Zwei Blumenkohl-Käse-Medaillons an Schnittlauchsauce,gelb (Ampel);vegetarisch;bio;Weizen;Milch und Milchprodukte (inkl. Laktose),Essen,2019-11-12,Backshop Katholische HS für Sozialwesen,"Zinnowitzer Straße 11, 10115 Berlin",main_dish,5,vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen;bio;gelb (Ampel),5
1029006,Alaska Seelachsfilet gebacken mit Remoulade und Salzkartoffeln,Ei/-erzeugnisse;Konservierungsstoffe;mit Fisch;Milch/-erzeugnisse;Fisch/-erzeugnisse;Farbstoffe;Antioxidationsmittel;Senf/-erzeugnisse;Glutenhaltiges;Süßungsmittel,Beliebt und gerne gegessen,2014-10-24,"Hamburg, Mensa Berliner Tor","Berliner Tor 7, 20099 Hamburg",main_dish,10,mit Fisch;Antioxidationsmittel;Süßungsmittel;Milch/-erzeugnisse;Farbstoffe;Senf/-erzeugnisse;Glutenhaltiges;Konservierungsstoffe;Fisch/-erzeugnisse;Ei/-erzeugnisse,10
4476049,"Pizza Flammkuchen mit Zwiebeln, Schinken, Lauchzwiebeln und Schmand",Soja(bohnen) und daraus gewonnene Erzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen;Gerste;mit Farbstoff;mit Konservierungsstoff;mit Antioxidationsmittel;mit Phosphat;Schwein,Pizza,2019-09-03,360 Grad,"Katharinenstr. 1, 38106 Braunschweig, Germany",main_dish,9,Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;mit Farbstoff;Milch und Milcherzeugnisse (einschließlich Laktose);Soja(bohnen) und daraus gewonnene Erzeugnisse;Weizen;Gerste,9
2524529,Pasta,,Aktionsstand,2017-04-06,Mensa Berliner Hochschule für Technik Luxemburger Straße,"Luxemburger Straße 9, 13353 Berlin",main_dish,0,,0
164117,"/Pasta-Theke geöffnet-Heute:Kräutersoße mit grünem Spargel,Ragout Napoletano oder fruchtige Tomatensoße mit drei verschiedenen Nudelsorten/ klein: 1,53/3,03€ groß: 2,16/3,66€",,Wok,2012-08-29,"Dresden, Zeltschloesschen","Nürnberger Straße 55, 01187 Dresden, Deutschland",main_dish,0,,0
2523093,"Serbischer Bohneneintopf, Weizenbrötchen",vegan;mit Säurungsmittel;Sellerie und Sellerieerzeugnisse;Glutenhaltiges Getreide sowie daraus hergestellte Erzeugnisse,Eintopf,2017-03-29,"Kunstakademie, Düsseldorf","Eiskellerstraße 1, 40213 Düsseldorf",soup,4,vegan;Sellerie und Sellerieerzeugnisse;mit Säurungsmittel,3
1719468,"Cheeseburger, American Wedges, Krautsalat",Rindfleisch;mit Knoblauch;Farbstoff;Konservierungsstoff;Süßungsmittel;Glutenhaltiges Getreide;Eier und Eiererzeugnisse;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Sesamsamen und Sesamsamenerzeugnisse,Tellergericht,2016-01-22,Mensa Caballus,"Bischofsholer Damm 15, 30173 Hannover",main_dish,11,Milch und Milcherzeugnisse;Glutenhaltiges Getreide;Sellerie und Sellerieerzeugnisse;Eier und Eiererzeugnisse;mit Knoblauch;Rindfleisch;Farbstoff;Konservierungsstoff;Senf und Senferzeugnisse;Sesamsamen und Sesamsamenerzeugnisse;Süßungsmittel,11
2129901,Schweineschnitzel mit Bratensauce,"Eier und Eiererzeugnisse;Soja(bohnen) und daraus gewonnene Erzeugnisse;Sellerie und Sellerieerzeugnisse;Glutenhaltiges Getreide
GL1     Weizen
GL2     Roggen
GL3     Gerste
GL4     Hafer
GL5     Dinkel
GL6     Kamut;mit Eiklar;Schwein",Classic 1,2016-08-30,Mensa 1 (Mittag),"Katharinenstr. 1, 38106 Braunschweig",main_dish,6,Sellerie und Sellerieerzeugnisse;Eier und Eiererzeugnisse;Schwein;Soja(bohnen) und daraus gewonnene Erzeugnisse,4
1686124,Paprikasoße,Menü ist vegan,Pasta,2016-01-07,"Dresden, Mensa Matrix","Reichenbachstr. 1, 01069 Dresden, Deutschland",main_dish,1,Menü ist vegan,1
2490364,Pizza Kreta mit Lauch und Hirtenkäse,Menü ist vegetarisch,Angebote,2017-03-23,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,1,Menü ist vegetarisch,1
5227503,"Panierte Hähnchenbrust mit Sauce Bernaise 
und Brokkoli, dazu frische Eierspätzle",Geflügel,Angebot 3,2020-10-05,Mensa Kiepenheuerallee,"Kiepenheuerallee 5, 14469 Potsdam",main_dish,1,Geflügel,1
2117170,Champignons in Rahmsoße,Menü ist vegetarisch,Angebote,2016-08-08,"Tharandt, Mensa TellerRandt","Piennerstr. 15, 01737 Tharandt",main_dish,1,Menü ist vegetarisch,1
12967966,"Kibbelinge im Backteig, Aioli mit Joghurt",mit Milcheiweiß;Weizen;Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;Eier und Eierzeugnisse;Milch und Milcherzeugnisse / enthält Laktose,Essen I,2022-11-25,Mensa Kamp-Lintfort,"Friedrich-Heinrich-Allee 25, 47475 Kamp-Lintfort",main_dish,6,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Milch und Milcherzeugnisse / enthält Laktose,6
3317883,Pizza Margherita - Wählen Sie weitere Zutaten selbst aus.,Milch und Milcherzeugnisse / enthält Laktose;Sellerie und Sellerieerzeugnisse;mit Milcheiweiß;mit Antioxidationsmittel;Weizen;mit Farbstoff,Pizza,2018-05-28,Mensa Campus Derendorf,"Münsterstraße 156, 40476 Düsseldorf",main_dish,6,Sellerie und Sellerieerzeugnisse;mit Antioxidationsmittel;mit Farbstoff;mit Milcheiweiß;Weizen;Milch und Milcherzeugnisse / enthält Laktose,6
4804331,Kaiserschmarrn mit Apfelmus,mit Antioxidationsmittel;Hühnerei;Glutenhaltiges Getreide;Weizen;Milch und Laktose;vegetarisch,Aktionsessen 4,2020-01-24,StuCafé Karlstraße,"Karlstr. 6, München",main_dish,6,Glutenhaltiges Getreide;vegetarisch;mit Antioxidationsmittel;Weizen;Milch und Laktose;Hühnerei,6
13177817,Hamburger oder Cheeseburger,enthält Rindfleisch;mit Süßungsmittel (9);Glutenhaltiges Getreide (A);Weizen (A1);Eier (C);Milch/Milchzucker (Laktose) (G);Senf (J);Sesam (K),Angebot,2022-12-12,"Dresden, Cafeteria Grill Cube","George-Bähr-Straße 1A-E, 01069 Dresden",main_dish,8,enthält Rindfleisch;Glutenhaltiges Getreide (A);Weizen (A1);Eier (C);Milch/Milchzucker (Laktose) (G);Senf (J);mit Süßungsmittel (9),7
703575,"Zwei gekochte Eier in Senfsoße, dazu Möhrengemüse und Petersilienkartoffeln",Menü enthält kein Fleisch,Angebote,2014-01-22,"Dresden, Alte Mensa","Mommsenstr. 13, 01069 Dresden, Deutschland",main_dish,1,Menü enthält kein Fleisch,1
191007,Gemüsepfanne Tokio mit Hähnchen oder Tofu,,WOK 2 Aktion,2012-11-10,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,0,,0
2087767,Geflügelburger,,Essen 10,2016-07-22,Cafeteria Bockenheim,Bockenheimer Landstraße 133 60325 Frankfurt am Main ,main_dish,0,,0
3737685,Kartoffelauflauf mit Lachs & Spinat,Fisch;Ei und Eierprodukte;Fisch und Fischerzeugnisse;Milch und Milchprodukte (inkl. Laktose),Aufläufe & Gratin,2018-11-02,Uni Mensa,"Leobener Straße 3, 28359 Bremen, Germany",main_dish,4,Fisch und Fischerzeugnisse;Fisch;Milch und Milchprodukte (inkl. Laktose);Ei und Eierprodukte,4
3116848,Zartweizenrisotto mit Wurzelgemüse,Vegan;Alkohol,Essen 3,2018-02-26,Cafeteria DASEIN,"Grüneburgplatz 1, 60323 Frankfurt am Main, Germany",main_dish,2,Vegan;Alkohol,2
3589322,Herzhaftes Rindergulasch,Rind/,Menü I,2018-08-21,"Marburg, Mensa Lahnberge","Conradistraße, 35043 Marburg",main_dish,1,,0
4817995,Vegetarische Kohlroulade  mit Schmorkohlsauce und Salzkartoffeln,Regional;Vegetarisch,Angebot 2,2020-01-13,Mensa Wildau,"Bahnhofstr. 1, 15745 Wildau",main_dish,2,Vegetarisch,1
415250,Ein Hähnchenbrustfilet mit grünem Spargel überbacken,,Essen,2013-04-15,Backshop Katholische HS für Sozialwesen,"Zinnowitzer Straße 11, 10115 Berlin",main_dish,0,,0
3611208,Rote Linsen-Süßkartoffel-Topf mit Gemüse und frischem Ingwer,grün (Ampel);vegan;Antioxidationsmittel;Kaschunuss;Sellerie;Soja,Essen,2018-09-11,Mensa HU Süd,"Unter den Linden 6, 10117 Berlin",main_dish,6,vegan;Antioxidationsmittel;Soja;Sellerie;grün (Ampel),5
3884266,Hirse-Gemüseauflauf mit Fetakäse,mit Tomatensauce und einer Beilage nach Wahl;vegetarisch,Essen 3,2019-01-08,Mensa Casino,"Grüneburgplatz 1, 60323 Frankfurt am Main, Germany",main_dish,2,vegetarisch,1
3529485,"gebackene Entenfilets Honey Pepper , Reis",Schwefeldioxid/Sulfite;mit Geflügel;Klima Teller;laktosefrei;Sellerie/-erzeugnisse,Aus dem Wok,2018-07-23,"Hamburg, Mensa Finkenau","Finkenau 35, 22081 Hamburg",main_dish,5,laktosefrei;mit Geflügel;Sellerie/-erzeugnisse;Klima Teller;Schwefeldioxid/Sulfite,5
10711067,"Hähnchenbrust Piccata Milanese mit Tomatensauce und Brokkoli, dazu Beelitzer Bandnudeln",Geflügel;Regional,Angebot 3,2022-04-11,Mensa Golm,"Karl-Liebknecht-Str. 24/25, 14476 Potsdam OT Golm",main_dish,2,Geflügel,1
667927,Marinierte Hähnchenkeule mit Gemüsereis,Geflügel;MensaVital,Hauptgerichte,2013-12-05,DomCafete Halberstadt,"Am Domplatz 16,  38820 Halberstadt",main_dish,2,Geflügel;MensaVital,2
5023626,Nudelauflauf mit Käse,Weizen;Milch (Laktose);Gerste;Farbstoff,Essen C,2020-04-22,Mensa Clausthal,"Leibnizstr. 3, 38678 Clausthal-Zellerfeld, Deutschland",main_dish,4,Farbstoff;Weizen;Gerste;Milch (Laktose),4
1410433,"In der Pfanne gebratenes Geflügelhacksteak (a,c) Sauce Bearnaise (2,c,g,j), Wachsbohnensalat, Bratkartoffeln, Tagesdessert Nektarine",,Menü I,2015-07-10,"Göttingen, Zentralmensa","Platz der Göttinger Sieben 4, Göttingen",main_dish,0,,0
292202,Kürbis-Gemüseragout mit Getreidereis (vegan),,Menü vegetarisch,2012-11-28,"Marburg, Mensa Lahnberge","Conradistraße, 35043 Marburg",main_dish,0,,0
225533,Ratatouille,,Aktionsstand,2012-09-27,"Cafeteria TU ""Skyline""","Ernst-Reuter-Platz 7, 10587 Berlin",main_dish,0,,0
4113152,Knusperente mit fruchtigem Thai-Curry und Wildreis,Soja(bohnen) und daraus gewonnene Erzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Senf und Senferzeugnisse;Geflügel,Wok & Grill,2019-04-08,360 Grad,"Katharinenstr. 1, 38106 Braunschweig, Germany",main_dish,4,Senf und Senferzeugnisse;Geflügel;Milch und Milcherzeugnisse (einschließlich Laktose);Soja(bohnen) und daraus gewonnene Erzeugnisse,4
1215912,"Kartoffelauflauf ""Moussaka Art"" mit Auberginen und Zucchini dazu Joghurtdipp",glutenhaltiges Getreide;Eier;Soja;Milch;Sellerie,Menü II vegetarisch,2015-03-02,"Marburg, Mensa Lahnberge","Conradistraße, 35043 Marburg",main_dish,5,Soja;Sellerie;glutenhaltiges Getreide;Eier;Milch,5
1323931,"Kartoffelcremesuppe mit Räucherlachsstreifen , Brötchen","enthält Gluten,;enthält Milch,;enthält Fische,;enthält Sojabohnen,",Tellergericht,2015-05-12,"Aachen, Mensa Vita","Helmertweg 1, 52074 Aachen",main_dish,4,,0
2418169,Hirse - Gemüsefrittata,,Essen,2017-02-01,Mensa FU II Otto-von-Simson-Straße,"Otto-von-Simson-Straße 26, 14195 Berlin",main_dish,0,,0
14750012,Aktionstheke: Hähnchenburger,"ohne deklarationspflichtige Zusatzstoffe;Allergene: Milch- und Milchzucker, Senf, Sesam;Geflügel (G)",Fleisch,2023-04-20,Mensa Nordhäuser Straße,"Nordhäuser Straße + 63, 99089 + Erfurt, Deutschland",main_dish,3,ohne deklarationspflichtige Zusatzstoffe,1
